each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100,12.60,[100.00,15.00,26.99]	5:A100,12.40,[100.00,27.12,23.74]	10:A100,10.90,[100.00,36.25,19.84]	15:B220,12.40,[100.00,181.09,22.84]	20:A100,10.00,[100.00,04.87,04.87]	25:A100,10.40,[100.00,11.10,17.02]	30:A100,10.90,[100.00,14.05,03.33]	35:A100,12.00,[100.00,56.68,19.97]	40:C000,11.20,[100.00,07.41,48.15]	45:A100,12.30,[100.00,09.57,20.90]	
0:A100,13.10,[100.00,15.00,26.99]	5:A100,12.90,[100.00,27.12,23.74]	10:A100,11.40,[100.00,36.25,19.84]	15:B000,12.40,[100.00,41.37,22.84]	20:A100,10.50,[100.00,04.87,04.87]	25:A100,10.90,[100.00,11.10,17.02]	30:A100,11.40,[100.00,14.05,03.33]	35:A100,12.50,[100.00,56.68,19.97]	40:A100,11.70,[100.00,07.41,48.15]	45:A100,12.80,[100.00,09.57,20.90]	
0:A100,13.60,[100.00,15.00,26.99]	5:A100,13.40,[100.00,27.12,23.74]	10:A100,11.90,[100.00,36.25,19.84]	15:A100,12.90,[100.00,41.37,22.84]	20:A100,11.00,[100.00,04.87,04.87]	25:A100,11.40,[100.00,11.10,17.02]	30:A100,11.90,[100.00,14.05,03.33]	35:A100,13.00,[100.00,56.68,19.97]	40:C180,12.60,[100.00,07.41,144.12]	45:A100,13.30,[100.00,09.57,20.90]	
0:C000,13.60,[100.00,15.00,04.05]	5:A100,13.90,[100.00,27.12,23.74]	10:A100,12.40,[100.00,36.25,19.84]	15:A100,13.40,[100.00,41.37,22.84]	20:A100,11.50,[100.00,04.87,04.87]	25:A100,11.90,[100.00,11.10,17.02]	30:A100,12.40,[100.00,14.05,03.33]	35:A100,13.50,[100.00,56.68,19.97]	40:C180,13.50,[100.00,07.41,170.23]	45:A100,13.80,[100.00,09.57,20.90]	
0:A100,14.10,[100.00,15.00,04.05]	5:A100,14.40,[100.00,27.12,23.74]	10:A100,12.90,[100.00,36.25,19.84]	15:A100,13.90,[100.00,41.37,22.84]	20:A100,12.00,[100.00,04.87,04.87]	25:A100,12.40,[100.00,11.10,17.02]	30:A100,12.90,[100.00,14.05,03.33]	35:A100,14.00,[100.00,56.68,19.97]	40:C180,14.40,[100.00,07.41,177.34]	45:C000,13.80,[100.00,09.57,04.37]	
0:A100,14.60,[100.00,15.00,04.05]	5:A100,14.90,[100.00,27.12,23.74]	10:A100,13.40,[100.00,36.25,19.84]	15:A100,14.40,[100.00,41.37,22.84]	20:A100,12.50,[100.00,04.87,04.87]	25:A100,12.90,[100.00,11.10,17.02]	30:A100,13.40,[100.00,14.05,03.33]	35:A100,14.50,[100.00,56.68,19.97]	40:A100,14.90,[100.00,07.41,177.34]	45:A100,14.30,[100.00,09.57,04.37]	
0:B000,14.60,[100.00,02.25,04.05]	5:A100,15.40,[100.00,27.12,23.74]	10:A100,13.90,[100.00,36.25,19.84]	15:A100,14.90,[100.00,41.37,22.84]	20:A100,13.00,[100.00,04.87,04.87]	25:A100,13.40,[100.00,11.10,17.02]	30:A100,13.90,[100.00,14.05,03.33]	35:A100,15.00,[100.00,56.68,19.97]	40:C000,14.90,[100.00,07.41,48.26]	45:A100,14.80,[100.00,09.57,04.37]	
0:A100,15.10,[100.00,02.25,04.05]	5:A100,15.90,[100.00,27.12,23.74]	10:A100,14.40,[100.00,36.25,19.84]	15:A100,15.40,[100.00,41.37,22.84]	20:A100,13.50,[100.00,04.87,04.87]	25:A100,13.90,[100.00,11.10,17.02]	30:A100,14.40,[100.00,14.05,03.33]	35:A100,15.50,[100.00,56.68,19.97]	40:A100,15.40,[100.00,07.41,48.26]	45:A100,15.30,[100.00,09.57,04.37]	
0:A100,15.60,[100.00,02.25,04.05]	5:A100,16.40,[100.00,27.12,23.74]	10:A100,14.90,[100.00,36.25,19.84]	15:A100,15.90,[100.00,41.37,22.84]	20:A100,14.00,[100.00,04.87,04.87]	25:A100,14.40,[100.00,11.10,17.02]	30:A100,14.90,[100.00,14.05,03.33]	35:A100,16.00,[100.00,56.68,19.97]	40:A100,15.90,[100.00,07.41,48.26]	45:A100,15.80,[100.00,09.57,04.37]	
0:A100,16.10,[100.00,02.25,04.05]	5:A100,16.90,[100.00,27.12,23.74]	10:A100,15.40,[100.00,36.25,19.84]	15:A100,16.40,[100.00,41.37,22.84]	20:A100,14.50,[100.00,04.87,04.87]	25:A100,14.90,[100.00,11.10,17.02]	30:A100,15.40,[100.00,14.05,03.33]	35:A100,16.50,[100.00,56.68,19.97]	40:A100,16.40,[100.00,07.41,48.26]	45:A100,16.30,[100.00,09.57,04.37]	
