each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):C000,000.00,[100.00,050.12,039.73]	20(0.7549875835166742):A100,000.00,[100.00,046.70,033.91]	25(0.6136255502310676):A100,000.00,[100.00,032.69,066.98]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):B000,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,033.49]	15(0.7077438594693404):A100,000.00,[100.00,050.12,039.73]	20(0.7549875835166742):A100,000.00,[100.00,046.70,033.91]	25(0.6136255502310676):A100,000.00,[100.00,032.69,066.98]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):C000,000.00,[100.00,071.78,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,039.73]	20(0.7549875835166742):A100,000.00,[100.00,046.70,033.91]	25(0.6136255502310676):A100,000.00,[100.00,032.69,066.98]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,071.78,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,039.73]	20(0.7549875835166742):A100,000.00,[100.00,046.70,033.91]	25(0.6136255502310676):A100,000.00,[100.00,032.69,066.98]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,170.36,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,039.73]	20(0.7549875835166742):C180,000.00,[100.00,046.70,144.21]	25(0.6136255502310676):A100,000.00,[100.00,032.69,066.98]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B000,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,039.73]	20(0.7549875835166742):C180,000.00,[100.00,046.70,171.23]	25(0.6136255502310676):C180,000.00,[100.00,032.69,136.33]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):C180,000.00,[100.00,050.12,139.00]	20(0.7549875835166742):C180,000.00,[100.00,046.70,177.85]	25(0.6136255502310676):C180,000.00,[100.00,032.69,163.13]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,016.21]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):C000,000.00,[100.00,050.12,040.62]	20(0.7549875835166742):C000,000.00,[100.00,046.70,043.58]	25(0.6136255502310676):C000,000.00,[100.00,032.69,063.03]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.74]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):C180,000.00,[100.00,055.49,130.54]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,040.62]	20(0.7549875835166742):A100,000.00,[100.00,046.70,043.58]	25(0.6136255502310676):A100,000.00,[100.00,032.69,063.03]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):C180,000.00,[100.00,008.07,173.51]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):C000,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,040.62]	20(0.7549875835166742):C000,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,063.03]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):C180,000.00,[100.00,008.07,179.76]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,040.62]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,063.03]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):C000,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,040.62]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):C000,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):A100,000.00,[100.00,050.12,040.62]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,011.17]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):B000,000.00,[100.00,014.65,040.62]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):C000,000.00,[100.00,026.52,002.96]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):A100,000.00,[100.00,057.06,011.22]	15(0.7077438594693404):C180,000.00,[100.00,014.65,139.27]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,002.96]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,165.43,011.22]	15(0.7077438594693404):A100,000.00,[100.00,014.65,139.27]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,002.96]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,201.72,011.22]	15(0.7077438594693404):A100,000.00,[100.00,014.65,139.27]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,002.96]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,213.88,011.22]	15(0.7077438594693404):C180,000.00,[100.00,014.65,168.10]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,002.96]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,217.95,011.22]	15(0.7077438594693404):C000,000.00,[100.00,014.65,049.13]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,002.96]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B220,000.00,[100.00,219.31,011.22]	15(0.7077438594693404):A100,000.00,[100.00,014.65,049.13]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,002.96]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
0(0.6980211689127522):A100,000.00,[100.00,055.49,039.42]	5(0.9732000662288641):A100,000.00,[100.00,005.89,002.68]	10(0.6650886450032619):B000,000.00,[100.00,073.45,011.22]	15(0.7077438594693404):A100,000.00,[100.00,014.65,049.13]	20(0.7549875835166742):A100,000.00,[100.00,046.70,010.68]	25(0.6136255502310676):A100,000.00,[100.00,032.69,024.35]	30(0.7347927496016697):A100,000.00,[100.00,026.52,002.96]	35(0.962539992730944):A100,000.00,[100.00,008.07,006.73]	40(0.8182365658967593):A100,000.00,[100.00,034.04,018.18]	45(0.8509414693728281):A100,000.00,[100.00,032.17,025.05]	
