each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:A100,14.70,[100.00,49.61,39.34]	5:C180,18.10,[100.00,48.10,160.00]	10:A100,13.80,[100.00,80.00,106.84]	15:A100,13.50,[100.00,54.06,50.00]	20:A100,11.80,[100.00,87.50,50.00]	25:A100,11.70,[100.00,67.50,41.56]	30:A100,11.50,[100.00,75.00,59.38]	35:C000,13.40,[100.00,99.38,85.94]	40:A100,11.80,[100.00,39.38,50.00]	45:A100,12.80,[100.00,50.00,127.89]	
0:A100,15.20,[100.00,49.61,39.34]	5:C000,18.10,[100.00,48.10,80.00]	10:A100,14.30,[100.00,80.00,106.84]	15:A100,14.00,[100.00,54.06,50.00]	20:B000,11.80,[100.00,43.75,50.00]	25:A100,12.20,[100.00,67.50,41.56]	30:A100,12.00,[100.00,75.00,59.38]	35:C000,13.40,[100.00,99.38,42.97]	40:C000,11.80,[100.00,39.38,25.00]	45:C180,13.70,[100.00,50.00,153.95]	
0:A100,15.70,[100.00,49.61,39.34]	5:A100,18.60,[100.00,48.10,80.00]	10:A100,14.80,[100.00,80.00,106.84]	15:A100,14.50,[100.00,54.06,50.00]	20:A100,12.30,[100.00,43.75,50.00]	25:B220,13.30,[100.00,143.75,41.56]	30:A100,12.50,[100.00,75.00,59.38]	35:A100,13.90,[100.00,99.38,42.97]	40:A100,12.30,[100.00,39.38,25.00]	45:C000,13.70,[100.00,50.00,76.97]	
0:A100,16.20,[100.00,49.61,39.34]	5:C000,18.60,[100.00,48.10,40.00]	10:B220,15.90,[100.00,150.00,106.84]	15:A100,15.00,[100.00,54.06,50.00]	20:A100,12.80,[100.00,43.75,50.00]	25:B220,14.40,[100.00,181.88,41.56]	30:C180,13.40,[100.00,75.00,119.69]	35:C000,13.90,[100.00,99.38,21.48]	40:C180,13.20,[100.00,39.38,102.50]	45:A100,14.20,[100.00,50.00,76.97]	
0:A100,16.70,[100.00,49.61,39.34]	5:A100,19.10,[100.00,48.10,40.00]	10:B220,17.00,[100.00,185.00,106.84]	15:A100,15.50,[100.00,54.06,50.00]	20:A100,13.30,[100.00,43.75,50.00]	25:B220,15.50,[100.00,200.94,41.56]	30:C000,13.40,[100.00,75.00,59.84]	35:A100,14.40,[100.00,99.38,21.48]	40:C180,14.10,[100.00,39.38,141.25]	45:A100,14.70,[100.00,50.00,76.97]	
0:A100,17.20,[100.00,49.61,39.34]	5:A100,19.60,[100.00,48.10,40.00]	10:B220,18.10,[100.00,202.50,106.84]	15:A100,16.00,[100.00,54.06,50.00]	20:A100,13.80,[100.00,43.75,50.00]	25:B220,16.60,[100.00,210.47,41.56]	30:A100,13.90,[100.00,75.00,59.84]	35:A100,14.90,[100.00,99.38,21.48]	40:C180,15.00,[100.00,39.38,160.63]	45:B220,15.80,[100.00,135.00,76.97]	
0:A100,17.70,[100.00,49.61,39.34]	5:A100,20.10,[100.00,48.10,40.00]	10:B000,18.10,[100.00,101.25,106.84]	15:A100,16.50,[100.00,54.06,50.00]	20:C180,14.70,[100.00,43.75,115.00]	25:B000,16.60,[100.00,105.23,41.56]	30:A100,14.40,[100.00,75.00,59.84]	35:A100,15.40,[100.00,99.38,21.48]	40:C000,15.00,[100.00,39.38,80.31]	45:B220,16.90,[100.00,177.50,76.97]	
0:A100,18.20,[100.00,49.61,39.34]	5:A100,20.60,[100.00,48.10,40.00]	10:C180,19.00,[100.00,101.25,143.42]	15:A100,17.00,[100.00,54.06,50.00]	20:C000,14.70,[100.00,43.75,57.50]	25:B000,16.60,[100.00,52.62,41.56]	30:A100,14.90,[100.00,75.00,59.84]	35:A100,15.90,[100.00,99.38,21.48]	40:A100,15.50,[100.00,39.38,80.31]	45:B220,18.00,[100.00,198.75,76.97]	
0:C180,19.10,[100.00,49.61,109.67]	5:A100,21.10,[100.00,48.10,40.00]	10:B220,20.10,[100.00,160.63,143.42]	15:B220,18.10,[100.00,137.03,50.00]	20:C000,14.70,[100.00,43.75,28.75]	25:A100,17.10,[100.00,52.62,41.56]	30:A100,15.40,[100.00,75.00,59.84]	35:A100,16.40,[100.00,99.38,21.48]	40:A100,16.00,[100.00,39.38,80.31]	45:B000,18.00,[100.00,99.38,76.97]	
0:C000,19.10,[100.00,49.61,54.83]	5:A100,21.60,[100.00,48.10,40.00]	10:B000,20.10,[100.00,80.31,143.42]	15:B000,18.10,[100.00,68.52,50.00]	20:A100,15.20,[100.00,43.75,28.75]	25:A100,17.60,[100.00,52.62,41.56]	30:C180,16.30,[100.00,75.00,119.92]	35:B220,17.50,[100.00,159.69,21.48]	40:A100,16.50,[100.00,39.38,80.31]	45:A100,18.50,[100.00,99.38,76.97]	
