each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 150

0:A100,12.80,[100.00,01.14,00.93]	5:A100,11.80,[100.00,07.95,14.28]	10:A100,11.40,[100.00,10.47,17.97]	15:A100,11.70,[100.00,00.68,00.31]	20:A100,14.40,[100.00,04.53,25.82]	25:A100,10.90,[100.00,15.63,24.11]	30:A100,11.10,[100.00,22.48,01.18]	35:A100,13.40,[100.00,18.46,08.39]	40:A100,11.40,[100.00,06.14,05.03]	45:A100,10.90,[100.00,04.17,00.31]	
0:A100,13.30,[100.00,01.14,00.93]	5:A100,12.30,[100.00,07.95,14.28]	10:A100,11.90,[100.00,10.47,17.97]	15:A100,12.20,[100.00,00.68,00.31]	20:A100,14.90,[100.00,04.53,25.82]	25:A100,11.40,[100.00,15.63,24.11]	30:A100,11.60,[100.00,22.48,01.18]	35:A100,13.90,[100.00,18.46,08.39]	40:A100,11.90,[100.00,06.14,05.03]	45:A100,11.40,[100.00,04.17,00.31]	
0:A100,13.80,[100.00,01.14,00.93]	5:A100,12.80,[100.00,07.95,14.28]	10:A100,12.40,[100.00,10.47,17.97]	15:A100,12.70,[100.00,00.68,00.31]	20:A100,15.40,[100.00,04.53,25.82]	25:A100,11.90,[100.00,15.63,24.11]	30:A100,12.10,[100.00,22.48,01.18]	35:A100,14.40,[100.00,18.46,08.39]	40:A100,12.40,[100.00,06.14,05.03]	45:A100,11.90,[100.00,04.17,00.31]	
0:A100,14.30,[100.00,01.14,00.93]	5:A100,13.30,[100.00,07.95,14.28]	10:A100,12.90,[100.00,10.47,17.97]	15:A100,13.20,[100.00,00.68,00.31]	20:A100,15.90,[100.00,04.53,25.82]	25:A100,12.40,[100.00,15.63,24.11]	30:A100,12.60,[100.00,22.48,01.18]	35:A100,14.90,[100.00,18.46,08.39]	40:A100,12.90,[100.00,06.14,05.03]	45:A100,12.40,[100.00,04.17,00.31]	
0:A100,14.80,[100.00,01.14,00.93]	5:A100,13.80,[100.00,07.95,14.28]	10:A100,13.40,[100.00,10.47,17.97]	15:A100,13.70,[100.00,00.68,00.31]	20:A100,16.40,[100.00,04.53,25.82]	25:A100,12.90,[100.00,15.63,24.11]	30:A100,13.10,[100.00,22.48,01.18]	35:A100,15.40,[100.00,18.46,08.39]	40:A100,13.40,[100.00,06.14,05.03]	45:A100,12.90,[100.00,04.17,00.31]	
0:A100,15.30,[100.00,01.14,00.93]	5:A100,14.30,[100.00,07.95,14.28]	10:A100,13.90,[100.00,10.47,17.97]	15:A100,14.20,[100.00,00.68,00.31]	20:A100,16.90,[100.00,04.53,25.82]	25:C180,13.80,[100.00,15.63,155.64]	30:A100,13.60,[100.00,22.48,01.18]	35:A100,15.90,[100.00,18.46,08.39]	40:A100,13.90,[100.00,06.14,05.03]	45:A100,13.40,[100.00,04.17,00.31]	
0:A100,15.80,[100.00,01.14,00.93]	5:A100,14.80,[100.00,07.95,14.28]	10:A100,14.40,[100.00,10.47,17.97]	15:A100,14.70,[100.00,00.68,00.31]	20:A100,17.40,[100.00,04.53,25.82]	25:C180,14.70,[100.00,15.63,176.19]	30:A100,14.10,[100.00,22.48,01.18]	35:A100,16.40,[100.00,18.46,08.39]	40:A100,14.40,[100.00,06.14,05.03]	45:A100,13.90,[100.00,04.17,00.31]	
0:A100,16.30,[100.00,01.14,00.93]	5:A100,15.30,[100.00,07.95,14.28]	10:A100,14.90,[100.00,10.47,17.97]	15:A100,15.20,[100.00,00.68,00.31]	20:A100,17.90,[100.00,04.53,25.82]	25:C180,15.60,[100.00,15.63,179.41]	30:A100,14.60,[100.00,22.48,01.18]	35:A100,16.90,[100.00,18.46,08.39]	40:A100,14.90,[100.00,06.14,05.03]	45:A100,14.40,[100.00,04.17,00.31]	
0:A100,16.80,[100.00,01.14,00.93]	5:A100,15.80,[100.00,07.95,14.28]	10:A100,15.40,[100.00,10.47,17.97]	15:A100,15.70,[100.00,00.68,00.31]	20:A100,18.40,[100.00,04.53,25.82]	25:C180,16.50,[100.00,15.63,179.91]	30:A100,15.10,[100.00,22.48,01.18]	35:A100,17.40,[100.00,18.46,08.39]	40:A100,15.40,[100.00,06.14,05.03]	45:A100,14.90,[100.00,04.17,00.31]	
0:A100,17.30,[100.00,01.14,00.93]	5:A100,16.30,[100.00,07.95,14.28]	10:A100,15.90,[100.00,10.47,17.97]	15:A100,16.20,[100.00,00.68,00.31]	20:A100,18.90,[100.00,04.53,25.82]	25:C000,16.50,[100.00,15.63,28.11]	30:A100,15.60,[100.00,22.48,01.18]	35:A100,17.90,[100.00,18.46,08.39]	40:A100,15.90,[100.00,06.14,05.03]	45:A100,15.40,[100.00,04.17,00.31]	
0:A100,17.80,[100.00,01.14,00.93]	5:A100,16.80,[100.00,07.95,14.28]	10:A100,16.40,[100.00,10.47,17.97]	15:A100,16.70,[100.00,00.68,00.31]	20:A100,19.40,[100.00,04.53,25.82]	25:A100,17.00,[100.00,15.63,28.11]	30:A100,16.10,[100.00,22.48,01.18]	35:A100,18.40,[100.00,18.46,08.39]	40:A100,16.40,[100.00,06.14,05.03]	45:A100,15.90,[100.00,04.17,00.31]	
0:A100,18.30,[100.00,01.14,00.93]	5:A100,17.30,[100.00,07.95,14.28]	10:A100,16.90,[100.00,10.47,17.97]	15:A100,17.20,[100.00,00.68,00.31]	20:A100,19.90,[100.00,04.53,25.82]	25:A100,17.50,[100.00,15.63,28.11]	30:A100,16.60,[100.00,22.48,01.18]	35:A100,18.90,[100.00,18.46,08.39]	40:A100,16.90,[100.00,06.14,05.03]	45:A100,16.40,[100.00,04.17,00.31]	
0:A100,18.80,[100.00,01.14,00.93]	5:A100,17.80,[100.00,07.95,14.28]	10:A100,17.40,[100.00,10.47,17.97]	15:A100,17.70,[100.00,00.68,00.31]	20:A100,20.40,[100.00,04.53,25.82]	25:C000,17.50,[100.00,15.63,04.39]	30:A100,17.10,[100.00,22.48,01.18]	35:A100,19.40,[100.00,18.46,08.39]	40:A100,17.40,[100.00,06.14,05.03]	45:A100,16.90,[100.00,04.17,00.31]	
0:A100,19.30,[100.00,01.14,00.93]	5:A100,18.30,[100.00,07.95,14.28]	10:A100,17.90,[100.00,10.47,17.97]	15:A100,18.20,[100.00,00.68,00.31]	20:A100,20.90,[100.00,04.53,25.82]	25:A100,18.00,[100.00,15.63,04.39]	30:A100,17.60,[100.00,22.48,01.18]	35:A100,19.90,[100.00,18.46,08.39]	40:A100,17.90,[100.00,06.14,05.03]	45:A100,17.40,[100.00,04.17,00.31]	
0:A100,19.80,[100.00,01.14,00.93]	5:A100,18.80,[100.00,07.95,14.28]	10:A100,18.40,[100.00,10.47,17.97]	15:A100,18.70,[100.00,00.68,00.31]	20:C180,21.80,[100.00,04.53,157.68]	25:A100,18.50,[100.00,15.63,04.39]	30:A100,18.10,[100.00,22.48,01.18]	35:A100,20.40,[100.00,18.46,08.39]	40:A100,18.40,[100.00,06.14,05.03]	45:A100,17.90,[100.00,04.17,00.31]	
0:A100,20.30,[100.00,01.14,00.93]	5:A100,19.30,[100.00,07.95,14.28]	10:A100,18.90,[100.00,10.47,17.97]	15:A100,19.20,[100.00,00.68,00.31]	20:C000,21.80,[100.00,04.53,22.83]	25:A100,19.00,[100.00,15.63,04.39]	30:A100,18.60,[100.00,22.48,01.18]	35:A100,20.90,[100.00,18.46,08.39]	40:A100,18.90,[100.00,06.14,05.03]	45:A100,18.40,[100.00,04.17,00.31]	
0:A100,20.80,[100.00,01.14,00.93]	5:A100,19.80,[100.00,07.95,14.28]	10:A100,19.40,[100.00,10.47,17.97]	15:A100,19.70,[100.00,00.68,00.31]	20:A100,22.30,[100.00,04.53,22.83]	25:A100,19.50,[100.00,15.63,04.39]	30:A100,19.10,[100.00,22.48,01.18]	35:A100,21.40,[100.00,18.46,08.39]	40:A100,19.40,[100.00,06.14,05.03]	45:A100,18.90,[100.00,04.17,00.31]	
0:A100,21.30,[100.00,01.14,00.93]	5:A100,20.30,[100.00,07.95,14.28]	10:A100,19.90,[100.00,10.47,17.97]	15:A100,20.20,[100.00,00.68,00.31]	20:A100,22.80,[100.00,04.53,22.83]	25:A100,20.00,[100.00,15.63,04.39]	30:A100,19.60,[100.00,22.48,01.18]	35:A100,21.90,[100.00,18.46,08.39]	40:A100,19.90,[100.00,06.14,05.03]	45:A100,19.40,[100.00,04.17,00.31]	
0:A100,21.80,[100.00,01.14,00.93]	5:A100,20.80,[100.00,07.95,14.28]	10:A100,20.40,[100.00,10.47,17.97]	15:A100,20.70,[100.00,00.68,00.31]	20:A100,23.30,[100.00,04.53,22.83]	25:A100,20.50,[100.00,15.63,04.39]	30:B000,19.60,[100.00,02.44,01.18]	35:B220,23.00,[100.00,203.09,08.39]	40:A100,20.40,[100.00,06.14,05.03]	45:A100,19.90,[100.00,04.17,00.31]	
0:A100,22.30,[100.00,01.14,00.93]	5:A100,21.30,[100.00,07.95,14.28]	10:A100,20.90,[100.00,10.47,17.97]	15:A100,21.20,[100.00,00.68,00.31]	20:A100,23.80,[100.00,04.53,22.83]	25:A100,21.00,[100.00,15.63,04.39]	30:A100,20.10,[100.00,02.44,01.18]	35:B220,24.10,[100.00,218.58,08.39]	40:A100,20.90,[100.00,06.14,05.03]	45:A100,20.40,[100.00,04.17,00.31]	
0:A100,22.80,[100.00,01.14,00.93]	5:A100,21.80,[100.00,07.95,14.28]	10:A100,21.40,[100.00,10.47,17.97]	15:A100,21.70,[100.00,00.68,00.31]	20:A100,24.30,[100.00,04.53,22.83]	25:A100,21.50,[100.00,15.63,04.39]	30:A100,20.60,[100.00,02.44,01.18]	35:B000,24.10,[100.00,18.34,08.39]	40:A100,21.40,[100.00,06.14,05.03]	45:A100,20.90,[100.00,04.17,00.31]	
0:A100,23.30,[100.00,01.14,00.93]	5:A100,22.30,[100.00,07.95,14.28]	10:A100,21.90,[100.00,10.47,17.97]	15:A100,22.20,[100.00,00.68,00.31]	20:A100,24.80,[100.00,04.53,22.83]	25:A100,22.00,[100.00,15.63,04.39]	30:A100,21.10,[100.00,02.44,01.18]	35:A100,24.60,[100.00,18.34,08.39]	40:A100,21.90,[100.00,06.14,05.03]	45:A100,21.40,[100.00,04.17,00.31]	
0:A100,23.80,[100.00,01.14,00.93]	5:A100,22.80,[100.00,07.95,14.28]	10:A100,22.40,[100.00,10.47,17.97]	15:A100,22.70,[100.00,00.68,00.31]	20:A100,25.30,[100.00,04.53,22.83]	25:A100,22.50,[100.00,15.63,04.39]	30:A100,21.60,[100.00,02.44,01.18]	35:A100,25.10,[100.00,18.34,08.39]	40:A100,22.40,[100.00,06.14,05.03]	45:A100,21.90,[100.00,04.17,00.31]	
0:A100,24.30,[100.00,01.14,00.93]	5:A100,23.30,[100.00,07.95,14.28]	10:A100,22.90,[100.00,10.47,17.97]	15:A100,23.20,[100.00,00.68,00.31]	20:A100,25.80,[100.00,04.53,22.83]	25:A100,23.00,[100.00,15.63,04.39]	30:A100,22.10,[100.00,02.44,01.18]	35:A100,25.60,[100.00,18.34,08.39]	40:A100,22.90,[100.00,06.14,05.03]	45:A100,22.40,[100.00,04.17,00.31]	
0:A100,24.80,[100.00,01.14,00.93]	5:A100,23.80,[100.00,07.95,14.28]	10:A100,23.40,[100.00,10.47,17.97]	15:A100,23.70,[100.00,00.68,00.31]	20:A100,26.30,[100.00,04.53,22.83]	25:A100,23.50,[100.00,15.63,04.39]	30:A100,22.60,[100.00,02.44,01.18]	35:A100,26.10,[100.00,18.34,08.39]	40:A100,23.40,[100.00,06.14,05.03]	45:A100,22.90,[100.00,04.17,00.31]	
0:A100,25.30,[100.00,01.14,00.93]	5:A100,24.30,[100.00,07.95,14.28]	10:A100,23.90,[100.00,10.47,17.97]	15:B000,23.70,[100.00,00.00,00.31]	20:A100,26.80,[100.00,04.53,22.83]	25:A100,24.00,[100.00,15.63,04.39]	30:A100,23.10,[100.00,02.44,01.18]	35:A100,26.60,[100.00,18.34,08.39]	40:A100,23.90,[100.00,06.14,05.03]	45:A100,23.40,[100.00,04.17,00.31]	
0:A100,25.80,[100.00,01.14,00.93]	5:A100,24.80,[100.00,07.95,14.28]	10:A100,24.40,[100.00,10.47,17.97]	15:A100,24.20,[100.00,00.00,00.31]	20:A100,27.30,[100.00,04.53,22.83]	25:A100,24.50,[100.00,15.63,04.39]	30:A100,23.60,[100.00,02.44,01.18]	35:A100,27.10,[100.00,18.34,08.39]	40:A100,24.40,[100.00,06.14,05.03]	45:A100,23.90,[100.00,04.17,00.31]	
0:A100,26.30,[100.00,01.14,00.93]	5:A100,25.30,[100.00,07.95,14.28]	10:C180,25.30,[100.00,10.47,163.04]	15:A100,24.70,[100.00,00.00,00.31]	20:A100,27.80,[100.00,04.53,22.83]	25:A100,25.00,[100.00,15.63,04.39]	30:A100,24.10,[100.00,02.44,01.18]	35:A100,27.60,[100.00,18.34,08.39]	40:A100,24.90,[100.00,06.14,05.03]	45:A100,24.40,[100.00,04.17,00.31]	
