each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:C000, 0.00,100.00,100.00,50.00	5:B220, 1.10,100.00,160.00,100.00	10:C180, 0.90,100.00,100.00,140.00	15:C180, 0.90,100.00,100.00,140.00	20:C180, 0.90,100.00,100.00,140.00	25:B000, 0.00,100.00,50.00,100.00	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:C180, 0.90,100.00,100.00,140.00	45:A100, 0.50,100.00,100.00,100.00	
0:C180,61.80,100.00,23.05,125.31	5:A100,59.20,100.00, 4.83,18.73	10:A100,57.80,100.00, 6.49,41.09	15:A100,59.50,100.00,42.68, 7.00	20:A100,57.10,100.00,60.00,17.50	25:A100,57.90,100.00,36.44,30.39	30:A100,60.50,100.00,17.48,71.59	35:A100,58.50,100.00,39.87,19.06	40:A100,60.30,100.00,59.08,30.78	45:A100,58.00,100.00,48.69,38.94	
0:C000,61.80,100.00,23.05,62.66	5:A100,59.70,100.00, 4.83,18.73	10:A100,58.30,100.00, 6.49,41.09	15:A100,60.00,100.00,42.68, 7.00	20:A100,57.60,100.00,60.00,17.50	25:A100,58.40,100.00,36.44,30.39	30:A100,61.00,100.00,17.48,71.59	35:A100,59.00,100.00,39.87,19.06	40:A100,60.80,100.00,59.08,30.78	45:A100,58.50,100.00,48.69,38.94	
0:A100,62.30,100.00,23.05,62.66	5:A100,60.20,100.00, 4.83,18.73	10:A100,58.80,100.00, 6.49,41.09	15:A100,60.50,100.00,42.68, 7.00	20:A100,58.10,100.00,60.00,17.50	25:A100,58.90,100.00,36.44,30.39	30:A100,61.50,100.00,17.48,71.59	35:A100,59.50,100.00,39.87,19.06	40:A100,61.30,100.00,59.08,30.78	45:A100,59.00,100.00,48.69,38.94	
0:A100,62.80,100.00,23.05,62.66	5:A100,60.70,100.00, 4.83,18.73	10:C000,58.80,100.00, 6.49,20.55	15:A100,61.00,100.00,42.68, 7.00	20:A100,58.60,100.00,60.00,17.50	25:A100,59.40,100.00,36.44,30.39	30:A100,62.00,100.00,17.48,71.59	35:A100,60.00,100.00,39.87,19.06	40:B220,62.40,100.00,139.54,30.78	45:A100,59.50,100.00,48.69,38.94	
0:A100,63.30,100.00,23.05,62.66	5:A100,61.20,100.00, 4.83,18.73	10:A100,59.30,100.00, 6.49,20.55	15:A100,61.50,100.00,42.68, 7.00	20:A100,59.10,100.00,60.00,17.50	25:A100,59.90,100.00,36.44,30.39	30:A100,62.50,100.00,17.48,71.59	35:A100,60.50,100.00,39.87,19.06	40:A100,62.90,100.00,139.54,30.78	45:A100,60.00,100.00,48.69,38.94	
0:B220,64.40,100.00,121.53,62.66	5:A100,61.70,100.00, 4.83,18.73	10:A100,59.80,100.00, 6.49,20.55	15:A100,62.00,100.00,42.68, 7.00	20:A100,59.60,100.00,60.00,17.50	25:A100,60.40,100.00,36.44,30.39	30:A100,63.00,100.00,17.48,71.59	35:A100,61.00,100.00,39.87,19.06	40:B220,64.00,100.00,179.77,30.78	45:A100,60.50,100.00,48.69,38.94	
0:B220,65.50,100.00,170.76,62.66	5:A100,62.20,100.00, 4.83,18.73	10:A100,60.30,100.00, 6.49,20.55	15:A100,62.50,100.00,42.68, 7.00	20:A100,60.10,100.00,60.00,17.50	25:A100,60.90,100.00,36.44,30.39	30:C180,63.90,100.00,17.48,125.80	35:A100,61.50,100.00,39.87,19.06	40:B220,65.10,100.00,199.88,30.78	45:A100,61.00,100.00,48.69,38.94	
0:B220,66.60,100.00,195.38,62.66	5:A100,62.70,100.00, 4.83,18.73	10:A100,60.80,100.00, 6.49,20.55	15:A100,63.00,100.00,42.68, 7.00	20:A100,60.60,100.00,60.00,17.50	25:A100,61.40,100.00,36.44,30.39	30:C000,63.90,100.00,17.48,62.90	35:A100,62.00,100.00,39.87,19.06	40:B220,66.20,100.00,209.94,30.78	45:A100,61.50,100.00,48.69,38.94	
0:B220,67.70,100.00,207.69,62.66	5:A100,63.20,100.00, 4.83,18.73	10:A100,61.30,100.00, 6.49,20.55	15:B000,63.00,100.00,21.34, 7.00	20:A100,61.10,100.00,60.00,17.50	25:A100,61.90,100.00,36.44,30.39	30:A100,64.40,100.00,17.48,62.90	35:A100,62.50,100.00,39.87,19.06	40:B220,67.30,100.00,214.97,30.78	45:C000,61.50,100.00,48.69,19.47	
0:B220,68.80,100.00,213.85,62.66	5:A100,63.70,100.00, 4.83,18.73	10:A100,61.80,100.00, 6.49,20.55	15:A100,63.50,100.00,21.34, 7.00	20:A100,61.60,100.00,60.00,17.50	25:A100,62.40,100.00,36.44,30.39	30:A100,64.90,100.00,17.48,62.90	35:A100,63.00,100.00,39.87,19.06	40:B220,68.40,100.00,217.49,30.78	45:A100,62.00,100.00,48.69,19.47	
0:B000,68.80,100.00,106.92,62.66	5:A100,64.20,100.00, 4.83,18.73	10:A100,62.30,100.00, 6.49,20.55	15:A100,64.00,100.00,21.34, 7.00	20:A100,62.10,100.00,60.00,17.50	25:A100,62.90,100.00,36.44,30.39	30:A100,65.40,100.00,17.48,62.90	35:A100,63.50,100.00,39.87,19.06	40:B000,68.40,100.00,108.74,30.78	45:A100,62.50,100.00,48.69,19.47	
0:B000,68.80,100.00,53.46,62.66	5:A100,64.70,100.00, 4.83,18.73	10:A100,62.80,100.00, 6.49,20.55	15:A100,64.50,100.00,21.34, 7.00	20:A100,62.60,100.00,60.00,17.50	25:A100,63.40,100.00,36.44,30.39	30:A100,65.90,100.00,17.48,62.90	35:A100,64.00,100.00,39.87,19.06	40:B220,69.50,100.00,164.37,30.78	45:A100,63.00,100.00,48.69,19.47	
0:C180,69.70,100.00,53.46,121.33	5:A100,65.20,100.00, 4.83,18.73	10:A100,63.30,100.00, 6.49,20.55	15:A100,65.00,100.00,21.34, 7.00	20:A100,63.10,100.00,60.00,17.50	25:A100,63.90,100.00,36.44,30.39	30:A100,66.40,100.00,17.48,62.90	35:A100,64.50,100.00,39.87,19.06	40:A100,70.00,100.00,164.37,30.78	45:A100,63.50,100.00,48.69,19.47	
0:C180,70.60,100.00,53.46,150.66	5:A100,65.70,100.00, 4.83,18.73	10:A100,63.80,100.00, 6.49,20.55	15:A100,65.50,100.00,21.34, 7.00	20:A100,63.60,100.00,60.00,17.50	25:A100,64.40,100.00,36.44,30.39	30:A100,66.90,100.00,17.48,62.90	35:A100,65.00,100.00,39.87,19.06	40:B000,70.00,100.00,82.19,30.78	45:B000,63.50,100.00,24.34,19.47	
0:C000,70.60,100.00,53.46,75.33	5:A100,66.20,100.00, 4.83,18.73	10:A100,64.30,100.00, 6.49,20.55	15:A100,66.00,100.00,21.34, 7.00	20:A100,64.10,100.00,60.00,17.50	25:A100,64.90,100.00,36.44,30.39	30:A100,67.40,100.00,17.48,62.90	35:A100,65.50,100.00,39.87,19.06	40:A100,70.50,100.00,82.19,30.78	45:A100,64.00,100.00,24.34,19.47	
0:A100,71.10,100.00,53.46,75.33	5:A100,66.70,100.00, 4.83,18.73	10:A100,64.80,100.00, 6.49,20.55	15:A100,66.50,100.00,21.34, 7.00	20:B220,65.20,100.00,140.00,17.50	25:A100,65.40,100.00,36.44,30.39	30:A100,67.90,100.00,17.48,62.90	35:A100,66.00,100.00,39.87,19.06	40:A100,71.00,100.00,82.19,30.78	45:A100,64.50,100.00,24.34,19.47	
0:C180,72.00,100.00,53.46,127.67	5:A100,67.20,100.00, 4.83,18.73	10:A100,65.30,100.00, 6.49,20.55	15:B220,67.60,100.00,120.67, 7.00	20:B220,66.30,100.00,180.00,17.50	25:A100,65.90,100.00,36.44,30.39	30:A100,68.40,100.00,17.48,62.90	35:A100,66.50,100.00,39.87,19.06	40:B220,72.10,100.00,151.09,30.78	45:A100,65.00,100.00,24.34,19.47	
0:C180,72.90,100.00,53.46,153.83	5:A100,67.70,100.00, 4.83,18.73	10:A100,65.80,100.00, 6.49,20.55	15:A100,68.10,100.00,120.67, 7.00	20:B220,67.40,100.00,200.00,17.50	25:A100,66.40,100.00,36.44,30.39	30:C180,69.30,100.00,17.48,121.45	35:A100,67.00,100.00,39.87,19.06	40:B000,72.10,100.00,75.55,30.78	45:A100,65.50,100.00,24.34,19.47	
0:C000,72.90,100.00,53.46,76.92	5:A100,68.20,100.00, 4.83,18.73	10:A100,66.30,100.00, 6.49,20.55	15:B000,68.10,100.00,60.34, 7.00	20:B000,67.40,100.00,100.00,17.50	25:B220,67.50,100.00,128.22,30.39	30:A100,69.80,100.00,17.48,121.45	35:A100,67.50,100.00,39.87,19.06	40:A100,72.60,100.00,75.55,30.78	45:A100,66.00,100.00,24.34,19.47	
0:A100,73.40,100.00,53.46,76.92	5:A100,68.70,100.00, 4.83,18.73	10:A100,66.80,100.00, 6.49,20.55	15:A100,68.60,100.00,60.34, 7.00	20:A100,67.90,100.00,100.00,17.50	25:B220,68.60,100.00,174.11,30.39	30:C000,69.80,100.00,17.48,60.72	35:A100,68.00,100.00,39.87,19.06	40:A100,73.10,100.00,75.55,30.78	45:A100,66.50,100.00,24.34,19.47	
0:A100,73.90,100.00,53.46,76.92	5:A100,69.20,100.00, 4.83,18.73	10:A100,67.30,100.00, 6.49,20.55	15:A100,69.10,100.00,60.34, 7.00	20:B000,67.90,100.00,50.00,17.50	25:B220,69.70,100.00,197.06,30.39	30:A100,70.30,100.00,17.48,60.72	35:A100,68.50,100.00,39.87,19.06	40:A100,73.60,100.00,75.55,30.78	45:A100,67.00,100.00,24.34,19.47	
0:A100,74.40,100.00,53.46,76.92	5:A100,69.70,100.00, 4.83,18.73	10:A100,67.80,100.00, 6.49,20.55	15:B220,70.20,100.00,140.17, 7.00	20:A100,68.40,100.00,50.00,17.50	25:B220,70.80,100.00,208.53,30.39	30:A100,70.80,100.00,17.48,60.72	35:A100,69.00,100.00,39.87,19.06	40:A100,74.10,100.00,75.55,30.78	45:A100,67.50,100.00,24.34,19.47	
0:A100,74.90,100.00,53.46,76.92	5:A100,70.20,100.00, 4.83,18.73	10:A100,68.30,100.00, 6.49,20.55	15:B000,70.20,100.00,70.08, 7.00	20:A100,68.90,100.00,50.00,17.50	25:B220,71.90,100.00,214.26,30.39	30:A100,71.30,100.00,17.48,60.72	35:A100,69.50,100.00,39.87,19.06	40:A100,74.60,100.00,75.55,30.78	45:A100,68.00,100.00,24.34,19.47	
0:C180,75.80,100.00,53.46,128.46	5:A100,70.70,100.00, 4.83,18.73	10:A100,68.80,100.00, 6.49,20.55	15:A100,70.70,100.00,70.08, 7.00	20:A100,69.40,100.00,50.00,17.50	25:B220,73.00,100.00,217.13,30.39	30:A100,71.80,100.00,17.48,60.72	35:A100,70.00,100.00,39.87,19.06	40:A100,75.10,100.00,75.55,30.78	45:A100,68.50,100.00,24.34,19.47	
0:C000,75.80,100.00,53.46,64.23	5:A100,71.20,100.00, 4.83,18.73	10:A100,69.30,100.00, 6.49,20.55	15:A100,71.20,100.00,70.08, 7.00	20:B000,69.40,100.00,25.00,17.50	25:B000,73.00,100.00,108.57,30.39	30:A100,72.30,100.00,17.48,60.72	35:B000,70.00,100.00,19.93,19.06	40:A100,75.60,100.00,75.55,30.78	45:A100,69.00,100.00,24.34,19.47	
0:A100,76.30,100.00,53.46,64.23	5:A100,71.70,100.00, 4.83,18.73	10:A100,69.80,100.00, 6.49,20.55	15:A100,71.70,100.00,70.08, 7.00	20:A100,69.90,100.00,25.00,17.50	25:A100,73.50,100.00,108.57,30.39	30:A100,72.80,100.00,17.48,60.72	35:A100,70.50,100.00,19.93,19.06	40:B000,75.60,100.00,37.77,30.78	45:A100,69.50,100.00,24.34,19.47	
0:B220,77.40,100.00,136.73,64.23	5:A100,72.20,100.00, 4.83,18.73	10:A100,70.30,100.00, 6.49,20.55	15:A100,72.20,100.00,70.08, 7.00	20:A100,70.40,100.00,25.00,17.50	25:A100,74.00,100.00,108.57,30.39	30:A100,73.30,100.00,17.48,60.72	35:A100,71.00,100.00,19.93,19.06	40:A100,76.10,100.00,37.77,30.78	45:A100,70.00,100.00,24.34,19.47	
0:B220,78.50,100.00,178.37,64.23	5:A100,72.70,100.00, 4.83,18.73	10:A100,70.80,100.00, 6.49,20.55	15:A100,72.70,100.00,70.08, 7.00	20:A100,70.90,100.00,25.00,17.50	25:B000,74.00,100.00,54.28,30.39	30:A100,73.80,100.00,17.48,60.72	35:A100,71.50,100.00,19.93,19.06	40:A100,76.60,100.00,37.77,30.78	45:A100,70.50,100.00,24.34,19.47	
0:B000,78.50,100.00,89.18,64.23	5:A100,73.20,100.00, 4.83,18.73	10:A100,71.30,100.00, 6.49,20.55	15:A100,73.20,100.00,70.08, 7.00	20:C180,71.80,100.00,25.00,98.75	25:A100,74.50,100.00,54.28,30.39	30:A100,74.30,100.00,17.48,60.72	35:A100,72.00,100.00,19.93,19.06	40:A100,77.10,100.00,37.77,30.78	45:A100,71.00,100.00,24.34,19.47	
0:A100,79.00,100.00,89.18,64.23	5:A100,73.70,100.00, 4.83,18.73	10:C180,72.20,100.00, 6.49,100.27	15:A100,73.70,100.00,70.08, 7.00	20:C180,72.70,100.00,25.00,139.38	25:A100,75.00,100.00,54.28,30.39	30:A100,74.80,100.00,17.48,60.72	35:A100,72.50,100.00,19.93,19.06	40:A100,77.60,100.00,37.77,30.78	45:A100,71.50,100.00,24.34,19.47	
0:C000,79.00,100.00,89.18,32.11	5:A100,74.20,100.00, 4.83,18.73	10:A100,72.70,100.00, 6.49,100.27	15:B220,74.80,100.00,145.04, 7.00	20:C180,73.60,100.00,25.00,159.69	25:A100,75.50,100.00,54.28,30.39	30:A100,75.30,100.00,17.48,60.72	35:A100,73.00,100.00,19.93,19.06	40:A100,78.10,100.00,37.77,30.78	45:A100,72.00,100.00,24.34,19.47	
0:A100,79.50,100.00,89.18,32.11	5:A100,74.70,100.00, 4.83,18.73	10:A100,73.20,100.00, 6.49,100.27	15:B220,75.90,100.00,182.52, 7.00	20:C180,74.50,100.00,25.00,169.84	25:A100,76.00,100.00,54.28,30.39	30:C180,76.20,100.00,17.48,120.36	35:A100,73.50,100.00,19.93,19.06	40:A100,78.60,100.00,37.77,30.78	45:A100,72.50,100.00,24.34,19.47	
0:A100,80.00,100.00,89.18,32.11	5:A100,75.20,100.00, 4.83,18.73	10:C180,74.10,100.00, 6.49,140.14	15:B000,75.90,100.00,91.26, 7.00	20:C180,75.40,100.00,25.00,174.92	25:A100,76.50,100.00,54.28,30.39	30:A100,76.70,100.00,17.48,120.36	35:A100,74.00,100.00,19.93,19.06	40:A100,79.10,100.00,37.77,30.78	45:A100,73.00,100.00,24.34,19.47	
0:C180,80.90,100.00,89.18,106.06	5:A100,75.70,100.00, 4.83,18.73	10:C000,74.10,100.00, 6.49,70.07	15:B000,75.90,100.00,45.63, 7.00	20:C000,75.40,100.00,25.00,87.46	25:A100,77.00,100.00,54.28,30.39	30:C000,76.70,100.00,17.48,60.18	35:A100,74.50,100.00,19.93,19.06	40:A100,79.60,100.00,37.77,30.78	45:C000,73.00,100.00,24.34, 9.74	
0:C180,81.80,100.00,89.18,143.03	5:A100,76.20,100.00, 4.83,18.73	10:A100,74.60,100.00, 6.49,70.07	15:A100,76.40,100.00,45.63, 7.00	20:C180,76.30,100.00,25.00,133.73	25:A100,77.50,100.00,54.28,30.39	30:A100,77.20,100.00,17.48,60.18	35:A100,75.00,100.00,19.93,19.06	40:A100,80.10,100.00,37.77,30.78	45:A100,73.50,100.00,24.34, 9.74	
0:C180,82.70,100.00,89.18,161.51	5:A100,76.70,100.00, 4.83,18.73	10:A100,75.10,100.00, 6.49,70.07	15:A100,76.90,100.00,45.63, 7.00	20:A100,76.80,100.00,25.00,133.73	25:A100,78.00,100.00,54.28,30.39	30:C180,78.10,100.00,17.48,120.09	35:A100,75.50,100.00,19.93,19.06	40:A100,80.60,100.00,37.77,30.78	45:A100,74.00,100.00,24.34, 9.74	
0:C000,82.70,100.00,89.18,80.76	5:A100,77.20,100.00, 4.83,18.73	10:A100,75.60,100.00, 6.49,70.07	15:A100,77.40,100.00,45.63, 7.00	20:C180,77.70,100.00,25.00,156.87	25:A100,78.50,100.00,54.28,30.39	30:C000,78.10,100.00,17.48,60.05	35:A100,76.00,100.00,19.93,19.06	40:A100,81.10,100.00,37.77,30.78	45:A100,74.50,100.00,24.34, 9.74	
0:C180,83.60,100.00,89.18,130.38	5:A100,77.70,100.00, 4.83,18.73	10:A100,76.10,100.00, 6.49,70.07	15:B220,78.50,100.00,132.82, 7.00	20:C180,78.60,100.00,25.00,168.43	25:A100,79.00,100.00,54.28,30.39	30:A100,78.60,100.00,17.48,60.05	35:A100,76.50,100.00,19.93,19.06	40:A100,81.60,100.00,37.77,30.78	45:A100,75.00,100.00,24.34, 9.74	
0:C000,83.60,100.00,89.18,65.19	5:A100,78.20,100.00, 4.83,18.73	10:A100,76.60,100.00, 6.49,70.07	15:B000,78.50,100.00,66.41, 7.00	20:C180,79.50,100.00,25.00,174.22	25:A100,79.50,100.00,54.28,30.39	30:A100,79.10,100.00,17.48,60.05	35:C180,77.40,100.00,19.93,99.53	40:A100,82.10,100.00,37.77,30.78	45:A100,75.50,100.00,24.34, 9.74	
0:C000,83.60,100.00,89.18,32.59	5:A100,78.70,100.00, 4.83,18.73	10:C180,77.50,100.00, 6.49,125.03	15:A100,79.00,100.00,66.41, 7.00	20:C000,79.50,100.00,25.00,87.11	25:A100,80.00,100.00,54.28,30.39	30:A100,79.60,100.00,17.48,60.05	35:A100,77.90,100.00,19.93,99.53	40:A100,82.60,100.00,37.77,30.78	45:A100,76.00,100.00,24.34, 9.74	
0:A100,84.10,100.00,89.18,32.59	5:A100,79.20,100.00, 4.83,18.73	10:C180,78.40,100.00, 6.49,152.52	15:A100,79.50,100.00,66.41, 7.00	20:A100,80.00,100.00,25.00,87.11	25:A100,80.50,100.00,54.28,30.39	30:A100,80.10,100.00,17.48,60.05	35:C000,77.90,100.00,19.93,49.77	40:A100,83.10,100.00,37.77,30.78	45:A100,76.50,100.00,24.34, 9.74	
0:A100,84.60,100.00,89.18,32.59	5:A100,79.70,100.00, 4.83,18.73	10:C180,79.30,100.00, 6.49,166.26	15:A100,80.00,100.00,66.41, 7.00	20:A100,80.50,100.00,25.00,87.11	25:C000,80.50,100.00,54.28,15.19	30:C180,81.00,100.00,17.48,120.02	35:A100,78.40,100.00,19.93,49.77	40:A100,83.60,100.00,37.77,30.78	45:A100,77.00,100.00,24.34, 9.74	
0:B220,85.70,100.00,154.59,32.59	5:A100,80.20,100.00, 4.83,18.73	10:C180,80.20,100.00, 6.49,173.13	15:A100,80.50,100.00,66.41, 7.00	20:A100,81.00,100.00,25.00,87.11	25:A100,81.00,100.00,54.28,15.19	30:A100,81.50,100.00,17.48,120.02	35:A100,78.90,100.00,19.93,49.77	40:A100,84.10,100.00,37.77,30.78	45:A100,77.50,100.00,24.34, 9.74	
0:B000,85.70,100.00,77.30,32.59	5:A100,80.70,100.00, 4.83,18.73	10:C000,80.20,100.00, 6.49,86.56	15:A100,81.00,100.00,66.41, 7.00	20:B000,81.00,100.00,12.50,87.11	25:A100,81.50,100.00,54.28,15.19	30:A100,82.00,100.00,17.48,120.02	35:A100,79.40,100.00,19.93,49.77	40:A100,84.60,100.00,37.77,30.78	45:A100,78.00,100.00,24.34, 9.74	
0:A100,86.20,100.00,77.30,32.59	5:A100,81.20,100.00, 4.83,18.73	10:A100,80.70,100.00, 6.49,86.56	15:A100,81.50,100.00,66.41, 7.00	20:C000,81.00,100.00,12.50,43.55	25:A100,82.00,100.00,54.28,15.19	30:A100,82.50,100.00,17.48,120.02	35:A100,79.90,100.00,19.93,49.77	40:A100,85.10,100.00,37.77,30.78	45:A100,78.50,100.00,24.34, 9.74	
0:A100,86.70,100.00,77.30,32.59	5:A100,81.70,100.00, 4.83,18.73	10:A100,81.20,100.00, 6.49,86.56	15:A100,82.00,100.00,66.41, 7.00	20:A100,81.50,100.00,12.50,43.55	25:A100,82.50,100.00,54.28,15.19	30:C180,83.40,100.00,17.48,150.01	35:A100,80.40,100.00,19.93,49.77	40:A100,85.60,100.00,37.77,30.78	45:A100,79.00,100.00,24.34, 9.74	
0:A100,87.20,100.00,77.30,32.59	5:A100,82.20,100.00, 4.83,18.73	10:A100,81.70,100.00, 6.49,86.56	15:A100,82.50,100.00,66.41, 7.00	20:A100,82.00,100.00,12.50,43.55	25:A100,83.00,100.00,54.28,15.19	30:C180,84.30,100.00,17.48,165.01	35:A100,80.90,100.00,19.93,49.77	40:A100,86.10,100.00,37.77,30.78	45:A100,79.50,100.00,24.34, 9.74	
0:B000,87.20,100.00,38.65,32.59	5:A100,82.70,100.00, 4.83,18.73	10:A100,82.20,100.00, 6.49,86.56	15:A100,83.00,100.00,66.41, 7.00	20:A100,82.50,100.00,12.50,43.55	25:A100,83.50,100.00,54.28,15.19	30:C000,84.30,100.00,17.48,82.50	35:A100,81.40,100.00,19.93,49.77	40:A100,86.60,100.00,37.77,30.78	45:A100,80.00,100.00,24.34, 9.74	
0:A100,87.70,100.00,38.65,32.59	5:A100,83.20,100.00, 4.83,18.73	10:A100,82.70,100.00, 6.49,86.56	15:A100,83.50,100.00,66.41, 7.00	20:A100,83.00,100.00,12.50,43.55	25:A100,84.00,100.00,54.28,15.19	30:A100,84.80,100.00,17.48,82.50	35:A100,81.90,100.00,19.93,49.77	40:A100,87.10,100.00,37.77,30.78	45:A100,80.50,100.00,24.34, 9.74	
0:A100,88.20,100.00,38.65,32.59	5:A100,83.70,100.00, 4.83,18.73	10:A100,83.20,100.00, 6.49,86.56	15:A100,84.00,100.00,66.41, 7.00	20:A100,83.50,100.00,12.50,43.55	25:B000,84.00,100.00,27.14,15.19	30:A100,85.30,100.00,17.48,82.50	35:A100,82.40,100.00,19.93,49.77	40:A100,87.60,100.00,37.77,30.78	45:A100,81.00,100.00,24.34, 9.74	
0:A100,88.70,100.00,38.65,32.59	5:A100,84.20,100.00, 4.83,18.73	10:C180,84.10,100.00, 6.49,133.28	15:A100,84.50,100.00,66.41, 7.00	20:A100,84.00,100.00,12.50,43.55	25:A100,84.50,100.00,27.14,15.19	30:A100,85.80,100.00,17.48,82.50	35:A100,82.90,100.00,19.93,49.77	40:A100,88.10,100.00,37.77,30.78	45:A100,81.50,100.00,24.34, 9.74	
0:A100,89.20,100.00,38.65,32.59	5:A100,84.70,100.00, 4.83,18.73	10:C180,85.00,100.00, 6.49,156.64	15:A100,85.00,100.00,66.41, 7.00	20:A100,84.50,100.00,12.50,43.55	25:A100,85.00,100.00,27.14,15.19	30:C000,85.80,100.00,17.48,41.25	35:A100,83.40,100.00,19.93,49.77	40:A100,88.60,100.00,37.77,30.78	45:A100,82.00,100.00,24.34, 9.74	
0:B000,89.20,100.00,19.32,32.59	5:A100,85.20,100.00, 4.83,18.73	10:C000,85.00,100.00, 6.49,78.32	15:A100,85.50,100.00,66.41, 7.00	20:A100,85.00,100.00,12.50,43.55	25:A100,85.50,100.00,27.14,15.19	30:A100,86.30,100.00,17.48,41.25	35:A100,83.90,100.00,19.93,49.77	40:A100,89.10,100.00,37.77,30.78	45:A100,82.50,100.00,24.34, 9.74	
0:A100,89.70,100.00,19.32,32.59	5:A100,85.70,100.00, 4.83,18.73	10:A100,85.50,100.00, 6.49,78.32	15:A100,86.00,100.00,66.41, 7.00	20:A100,85.50,100.00,12.50,43.55	25:A100,86.00,100.00,27.14,15.19	30:A100,86.80,100.00,17.48,41.25	35:C000,83.90,100.00,19.93,24.88	40:A100,89.60,100.00,37.77,30.78	45:A100,83.00,100.00,24.34, 9.74	
0:A100,90.20,100.00,19.32,32.59	5:A100,86.20,100.00, 4.83,18.73	10:A100,86.00,100.00, 6.49,78.32	15:A100,86.50,100.00,66.41, 7.00	20:A100,86.00,100.00,12.50,43.55	25:A100,86.50,100.00,27.14,15.19	30:A100,87.30,100.00,17.48,41.25	35:A100,84.40,100.00,19.93,24.88	40:A100,90.10,100.00,37.77,30.78	45:A100,83.50,100.00,24.34, 9.74	
0:C000,90
