each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 0

0:C000, 0.00,100.00,100.00,50.00	5:B220, 1.10,100.00,160.00,100.00	10:C180, 0.90,100.00,100.00,140.00	15:C180, 0.90,100.00,100.00,140.00	20:C180, 0.90,100.00,100.00,140.00	25:B000, 0.00,100.00,50.00,100.00	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:C180, 0.90,100.00,100.00,140.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,13.70,100.00,37.75,25.00	5:A100,14.60,100.00,51.32,59.38	10:A100,11.30,100.00,25.00,40.00	15:B000,14.10,100.00,67.50,43.94	20:A100,11.50,100.00,40.00,35.00	25:A100,11.40,100.00,44.38,31.72	30:A100,15.70,100.00,37.80,73.75	35:A100,11.30,100.00,40.00,19.06	40:C180,15.60,100.00,41.02,123.13	45:A100,10.70,100.00,17.97,50.00	
0:A100,14.20,100.00,37.75,25.00	5:C180,15.50,100.00,51.32,119.69	10:A100,11.80,100.00,25.00,40.00	15:A100,14.60,100.00,67.50,43.94	20:A100,12.00,100.00,40.00,35.00	25:A100,11.90,100.00,44.38,31.72	30:A100,16.20,100.00,37.80,73.75	35:A100,11.80,100.00,40.00,19.06	40:C000,15.60,100.00,41.02,61.56	45:A100,11.20,100.00,17.97,50.00	
0:A100,14.70,100.00,37.75,25.00	5:C180,16.40,100.00,51.32,149.84	10:A100,12.30,100.00,25.00,40.00	15:A100,15.10,100.00,67.50,43.94	20:A100,12.50,100.00,40.00,35.00	25:B220,13.00,100.00,132.19,31.72	30:A100,16.70,100.00,37.80,73.75	35:A100,12.30,100.00,40.00,19.06	40:B220,16.70,100.00,130.51,61.56	45:A100,11.70,100.00,17.97,50.00	
0:A100,15.20,100.00,37.75,25.00	5:C000,16.40,100.00,51.32,74.92	10:A100,12.80,100.00,25.00,40.00	15:A100,15.60,100.00,67.50,43.94	20:A100,13.00,100.00,40.00,35.00	25:B000,13.00,100.00,66.09,31.72	30:A100,17.20,100.00,37.80,73.75	35:A100,12.80,100.00,40.00,19.06	40:B000,16.70,100.00,65.25,61.56	45:A100,12.20,100.00,17.97,50.00	
0:A100,15.70,100.00,37.75,25.00	5:A100,16.90,100.00,51.32,74.92	10:A100,13.30,100.00,25.00,40.00	15:A100,16.10,100.00,67.50,43.94	20:A100,13.50,100.00,40.00,35.00	25:A100,13.50,100.00,66.09,31.72	30:A100,17.70,100.00,37.80,73.75	35:A100,13.30,100.00,40.00,19.06	40:A100,17.20,100.00,65.25,61.56	45:A100,12.70,100.00,17.97,50.00	
0:A100,16.20,100.00,37.75,25.00	5:A100,17.40,100.00,51.32,74.92	10:A100,13.80,100.00,25.00,40.00	15:A100,16.60,100.00,67.50,43.94	20:A100,14.00,100.00,40.00,35.00	25:C180,14.40,100.00,66.09,105.86	30:A100,18.20,100.00,37.80,73.75	35:A100,13.80,100.00,40.00,19.06	40:A100,17.70,100.00,65.25,61.56	45:A100,13.20,100.00,17.97,50.00	
0:A100,16.70,100.00,37.75,25.00	5:A100,17.90,100.00,51.32,74.92	10:A100,14.30,100.00,25.00,40.00	15:C180,17.50,100.00,67.50,111.97	20:A100,14.50,100.00,40.00,35.00	25:B220,15.50,100.00,143.05,105.86	30:A100,18.70,100.00,37.80,73.75	35:A100,14.30,100.00,40.00,19.06	40:A100,18.20,100.00,65.25,61.56	45:A100,13.70,100.00,17.97,50.00	
0:A100,17.20,100.00,37.75,25.00	5:A100,18.40,100.00,51.32,74.92	10:A100,14.80,100.00,25.00,40.00	15:C000,17.50,100.00,67.50,55.99	20:A100,15.00,100.00,40.00,35.00	25:B000,15.50,100.00,71.52,105.86	30:A100,19.20,100.00,37.80,73.75	35:A100,14.80,100.00,40.00,19.06	40:B000,18.20,100.00,32.63,61.56	45:A100,14.20,100.00,17.97,50.00	
0:B220,18.30,100.00,128.88,25.00	5:A100,18.90,100.00,51.32,74.92	10:A100,15.30,100.00,25.00,40.00	15:A100,18.00,100.00,67.50,55.99	20:A100,15.50,100.00,40.00,35.00	25:C000,15.50,100.00,71.52,52.93	30:A100,19.70,100.00,37.80,73.75	35:A100,15.30,100.00,40.00,19.06	40:A100,18.70,100.00,32.63,61.56	45:A100,14.70,100.00,17.97,50.00	
0:A100,18.80,100.00,128.88,25.00	5:A100,19.40,100.00,51.32,74.92	10:A100,15.80,100.00,25.00,40.00	15:A100,18.50,100.00,67.50,55.99	20:A100,16.00,100.00,40.00,35.00	25:C180,16.40,100.00,71.52,116.46	30:A100,20.20,100.00,37.80,73.75	35:A100,15.80,100.00,40.00,19.06	40:A100,19.20,100.00,32.63,61.56	45:A100,15.20,100.00,17.97,50.00	
0:B220,19.90,100.00,174.44,25.00	5:A100,19.90,100.00,51.32,74.92	10:B220,16.90,100.00,122.50,40.00	15:B000,18.50,100.00,33.75,55.99	20:A100,16.50,100.00,40.00,35.00	25:C180,17.30,100.00,71.52,148.23	30:A100,20.70,100.00,37.80,73.75	35:A100,16.30,100.00,40.00,19.06	40:A100,19.70,100.00,32.63,61.56	45:A100,15.70,100.00,17.97,50.00	
0:B000,19.90,100.00,87.22,25.00	5:A100,20.40,100.00,51.32,74.92	10:A100,17.40,100.00,122.50,40.00	15:A100,19.00,100.00,33.75,55.99	20:A100,17.00,100.00,40.00,35.00	25:C000,17.30,100.00,71.52,74.12	30:A100,21.20,100.00,37.80,73.75	35:A100,16.80,100.00,40.00,19.06	40:A100,20.20,100.00,32.63,61.56	45:A100,16.20,100.00,17.97,50.00	
0:A100,20.40,100.00,87.22,25.00	5:B220,21.50,100.00,135.66,74.92	10:B220,18.50,100.00,171.25,40.00	15:A100,19.50,100.00,33.75,55.99	20:A100,17.50,100.00,40.00,35.00	25:C180,18.20,100.00,71.52,127.06	30:A100,21.70,100.00,37.80,73.75	35:B220,17.90,100.00,130.00,19.06	40:A100,20.70,100.00,32.63,61.56	45:C180,17.10,100.00,17.97,115.00	
0:A100,20.90,100.00,87.22,25.00	5:B220,22.60,100.00,177.83,74.92	10:B220,19.60,100.00,195.63,40.00	15:B220,20.60,100.00,126.88,55.99	20:A100,18.00,100.00,40.00,35.00	25:C000,18.20,100.00,71.52,63.53	30:C180,22.60,100.00,37.80,126.88	35:B000,17.90,100.00,65.00,19.06	40:A100,21.20,100.00,32.63,61.56	45:A100,17.60,100.00,17.97,115.00	
0:A100,21.40,100.00,87.22,25.00	5:B000,22.60,100.00,88.91,74.92	10:B220,20.70,100.00,207.81,40.00	15:B000,20.60,100.00,63.44,55.99	20:A100,18.50,100.00,40.00,35.00	25:A100,18.70,100.00,71.52,63.53	30:A100,23.10,100.00,37.80,126.88	35:A100,18.40,100.00,65.00,19.06	40:A100,21.70,100.00,32.63,61.56	45:C180,18.50,100.00,17.97,147.50	
0:A100,21.90,100.00,87.22,25.00	5:A100,23.10,100.00,88.91,74.92	10:B000,20.70,100.00,103.91,40.00	15:B220,21.70,100.00,141.72,55.99	20:A100,19.00,100.00,40.00,35.00	25:A100,19.20,100.00,71.52,63.53	30:C000,23.10,100.00,37.80,63.44	35:A100,18.90,100.00,65.00,19.06	40:A100,22.20,100.00,32.63,61.56	45:C000,18.50,100.00,17.97,73.75	
0:A100,22.40,100.00,87.22,25.00	5:C000,23.10,100.00,88.91,37.46	10:B000,20.70,100.00,51.95,40.00	15:B220,22.80,100.00,180.86,55.99	20:A100,19.50,100.00,40.00,35.00	25:A100,19.70,100.00,71.52,63.53	30:A100,23.60,100.00,37.80,63.44	35:A100,19.40,100.00,65.00,19.06	40:A100,22.70,100.00,32.63,61.56	45:C180,19.40,100.00,17.97,126.88	
0:A100,22.90,100.00,87.22,25.00	5:B220,24.20,100.00,154.46,37.46	10:A100,21.20,100.00,51.95,40.00	15:B000,22.80,100.00,90.43,55.99	20:A100,20.00,100.00,40.00,35.00	25:B220,20.80,100.00,145.76,63.53	30:A100,24.10,100.00,37.80,63.44	35:A100,19.90,100.00,65.00,19.06	40:A100,23.20,100.00,32.63,61.56	45:C000,19.40,100.00,17.97,63.44	
0:A100,23.40,100.00,87.22,25.00	5:B000,24.20,100.00,77.23,37.46	10:A100,21.70,100.00,51.95,40.00	15:B220,23.90,100.00,155.21,55.99	20:A100,20.50,100.00,40.00,35.00	25:B000,20.80,100.00,72.88,63.53	30:A100,24.60,100.00,37.80,63.44	35:A100,20.40,100.00,65.00,19.06	40:A100,23.70,100.00,32.63,61.56	45:A100,19.90,100.00,17.97,63.44	
0:A100,23.90,100.00,87.22,25.00	5:B000,24.20,100.00,38.61,37.46	10:A100,22.20,100.00,51.95,40.00	15:B000,23.90,100.00,77.61,55.99	20:C000,20.50,100.00,40.00,17.50	25:A100,21.30,100.00,72.88,63.53	30:A100,25.10,100.00,37.80,63.44	35:B000,20.40,100.00,32.50,19.06	40:A100,24.20,100.00,32.63,61.56	45:A100,20.40,100.00,17.97,63.44	
0:B220,25.00,100.00,153.61,25.00	5:A100,24.70,100.00,38.61,37.46	10:A100,22.70,100.00,51.95,40.00	15:C000,23.90,100.00,77.61,27.99	20:A100,21.00,100.00,40.00,17.50	25:A100,21.80,100.00,72.88,63.53	30:C180,26.00,100.00,37.80,121.72	35:A100,20.90,100.00,32.50,19.06	40:A100,24.70,100.00,32.63,61.56	45:A100,20.90,100.00,17.97,63.44	
0:B000,25.00,100.00,76.80,25.00	5:A100,25.20,100.00,38.61,37.46	10:A100,23.20,100.00,51.95,40.00	15:A100,24.40,100.00,77.61,27.99	20:A100,21.50,100.00,40.00,17.50	25:B000,21.80,100.00,36.44,63.53	30:C000,26.00,100.00,37.80,60.86	35:A100,21.40,100.00,32.50,19.06	40:A100,25.20,100.00,32.63,61.56	45:A100,21.40,100.00,17.97,63.44	
0:A100,25.50,100.00,76.80,25.00	5:A100,25.70,100.00,38.61,37.46	10:A100,23.70,100.00,51.95,40.00	15:A100,24.90,100.00,77.61,27.99	20:A100,22.00,100.00,40.00,17.50	25:A100,22.30,100.00,36.44,63.53	30:A100,26.50,100.00,37.80,60.86	35:A100,21.90,100.00,32.50,19.06	40:A100,25.70,100.00,32.63,61.56	45:C000,21.40,100.00,17.97,31.72	
0:A100,26.00,100.00,76.80,25.00	5:A100,26.20,100.00,38.61,37.46	10:A100,24.20,100.00,51.95,40.00	15:B220,26.00,100.00,148.80,27.99	20:A100,22.50,100.00,40.00,17.50	25:A100,22.80,100.00,36.44,63.53	30:C000,26.50,100.00,37.80,30.43	35:A100,22.40,100.00,32.50,19.06	40:A100,26.20,100.00,32.63,61.56	45:A100,21.90,100.00,17.97,31.72	
0:A100,26.50,100.00,76.80,25.00	5:B000,26.20,100.00,19.31,37.46	10:A100,24.70,100.00,51.95,40.00	15:B000,26.00,100.00,74.40,27.99	20:A100,23.00,100.00,40.00,17.50	25:C180,23.70,100.00,36.44,121.76	30:A100,27.00,100.00,37.80,30.43	35:A100,22.90,100.00,32.50,19.06	40:A100,26.70,100.00,32.63,61.56	45:A100,22.40,100.00,17.97,31.72	
0:A100,27.00,100.00,76.80,25.00	5:A100,26.70,100.00,19.31,37.46	10:A100,25.20,100.00,51.95,40.00	15:A100,26.50,100.00,74.40,27.99	20:A100,23.50,100.00,40.00,17.50	25:A100,24.20,100.00,36.44,121.76	30:A100,27.50,100.00,37.80,30.43	35:A100,23.40,100.00,32.50,19.06	40:C000,26.70,100.00,32.63,30.78	45:C000,22.40,100.00,17.97,15.86	
0:A100,27.50,100.00,76.80,25.00	5:A100,27.20,100.00,19.31,37.46	10:A100,25.70,100.00,51.95,40.00	15:A100,27.00,100.00,74.40,27.99	20:A100,24.00,100.00,40.00,17.50	25:A100,24.70,100.00,36.44,121.76	30:A100,28.00,100.00,37.80,30.43	35:A100,23.90,100.00,32.50,19.06	40:A100,27.20,100.00,32.63,30.78	45:A100,22.90,100.00,17.97,15.86	
0:B000,27.50,100.00,38.40,25.00	5:A100,27.70,100.00,19.31,37.46	10:B000,25.70,100.00,25.98,40.00	15:A100,27.50,100.00,74.40,27.99	20:A100,24.50,100.00,40.00,17.50	25:C180,25.60,100.00,36.44,150.88	30:A100,28.50,100.00,37.80,30.43	35:A100,24.40,100.00,32.50,19.06	40:A100,27.70,100.00,32.63,30.78	45:A100,23.40,100.00,17.97,15.86	
0:A100,28.00,100.00,38.40,25.00	5:A100,28.20,100.00,19.31,37.46	10:B000,25.70,100.00,12.99,40.00	15:A100,28.00,100.00,74.40,27.99	20:A100,25.00,100.00,40.00,17.50	25:C180,26.50,100.00,36.44,165.44	30:A100,29.00,100.00,37.80,30.43	35:A100,24.90,100.00,32.50,19.06	40:A100,28.20,100.00,32.63,30.78	45:A100,23.90,100.00,17.97,15.86	
