each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100,12.20,[100.00,203.96,28.98]	5:A100,12.40,[100.00,20.00,09.17]	10:A100,11.00,[100.00,24.01,24.01]	15:C180,14.20,[100.00,11.76,179.97]	20:A100,11.60,[100.00,15.18,07.18]	25:A100,11.10,[100.00,38.82,03.91]	30:A100,11.80,[100.00,27.32,25.36]	35:A100,11.90,[100.00,03.20,22.32]	40:A100,10.90,[100.00,04.05,00.29]	45:A100,12.00,[100.00,24.42,20.23]	
0:B000,12.20,[100.00,59.11,28.98]	5:A100,12.90,[100.00,20.00,09.17]	10:A100,11.50,[100.00,24.01,24.01]	15:C000,14.20,[100.00,11.76,21.16]	20:A100,12.10,[100.00,15.18,07.18]	25:A100,11.60,[100.00,38.82,03.91]	30:C000,11.80,[100.00,27.32,03.64]	35:A100,12.40,[100.00,03.20,22.32]	40:A100,11.40,[100.00,04.05,00.29]	45:A100,12.50,[100.00,24.42,20.23]	
0:B000,12.20,[100.00,17.13,28.98]	5:A100,13.40,[100.00,20.00,09.17]	10:A100,12.00,[100.00,24.01,24.01]	15:A100,14.70,[100.00,11.76,21.16]	20:A100,12.60,[100.00,15.18,07.18]	25:A100,12.10,[100.00,38.82,03.91]	30:A100,12.30,[100.00,27.32,03.64]	35:A100,12.90,[100.00,03.20,22.32]	40:A100,11.90,[100.00,04.05,00.29]	45:A100,13.00,[100.00,24.42,20.23]	
0:A100,12.70,[100.00,17.13,28.98]	5:A100,13.90,[100.00,20.00,09.17]	10:A100,12.50,[100.00,24.01,24.01]	15:A100,15.20,[100.00,11.76,21.16]	20:A100,13.10,[100.00,15.18,07.18]	25:A100,12.60,[100.00,38.82,03.91]	30:A100,12.80,[100.00,27.32,03.64]	35:A100,13.40,[100.00,03.20,22.32]	40:A100,12.40,[100.00,04.05,00.29]	45:A100,13.50,[100.00,24.42,20.23]	
0:A100,13.20,[100.00,17.13,28.98]	5:A100,14.40,[100.00,20.00,09.17]	10:A100,13.00,[100.00,24.01,24.01]	15:A100,15.70,[100.00,11.76,21.16]	20:A100,13.60,[100.00,15.18,07.18]	25:A100,13.10,[100.00,38.82,03.91]	30:A100,13.30,[100.00,27.32,03.64]	35:A100,13.90,[100.00,03.20,22.32]	40:A100,12.90,[100.00,04.05,00.29]	45:A100,14.00,[100.00,24.42,20.23]	
0:A100,13.70,[100.00,17.13,28.98]	5:A100,14.90,[100.00,20.00,09.17]	10:A100,13.50,[100.00,24.01,24.01]	15:C180,16.60,[100.00,11.76,161.33]	20:A100,14.10,[100.00,15.18,07.18]	25:B220,14.20,[100.00,184.16,03.91]	30:A100,13.80,[100.00,27.32,03.64]	35:A100,14.40,[100.00,03.20,22.32]	40:A100,13.40,[100.00,04.05,00.29]	45:A100,14.50,[100.00,24.42,20.23]	
0:A100,14.20,[100.00,17.13,28.98]	5:A100,15.40,[100.00,20.00,09.17]	10:A100,14.00,[100.00,24.01,24.01]	15:C180,17.50,[100.00,11.76,177.80]	20:A100,14.60,[100.00,15.18,07.18]	25:B220,15.30,[100.00,212.91,03.91]	30:A100,14.30,[100.00,27.32,03.64]	35:A100,14.90,[100.00,03.20,22.32]	40:B000,13.40,[100.00,00.16,00.29]	45:A100,15.00,[100.00,24.42,20.23]	
0:A100,14.70,[100.00,17.13,28.98]	5:A100,15.90,[100.00,20.00,09.17]	10:A100,14.50,[100.00,24.01,24.01]	15:C180,18.40,[100.00,11.76,179.74]	20:A100,15.10,[100.00,15.18,07.18]	25:B000,15.30,[100.00,42.11,03.91]	30:A100,14.80,[100.00,27.32,03.64]	35:A100,15.40,[100.00,03.20,22.32]	40:A100,13.90,[100.00,00.16,00.29]	45:A100,15.50,[100.00,24.42,20.23]	
0:A100,15.20,[100.00,17.13,28.98]	5:A100,16.40,[100.00,20.00,09.17]	10:A100,15.00,[100.00,24.01,24.01]	15:C000,18.40,[100.00,11.76,21.13]	20:A100,15.60,[100.00,15.18,07.18]	25:A100,15.80,[100.00,42.11,03.91]	30:A100,15.30,[100.00,27.32,03.64]	35:A100,15.90,[100.00,03.20,22.32]	40:A100,14.40,[100.00,00.16,00.29]	45:A100,16.00,[100.00,24.42,20.23]	
0:A100,15.70,[100.00,17.13,28.98]	5:A100,16.90,[100.00,20.00,09.17]	10:A100,15.50,[100.00,24.01,24.01]	15:A100,18.90,[100.00,11.76,21.13]	20:A100,16.10,[100.00,15.18,07.18]	25:A100,16.30,[100.00,42.11,03.91]	30:A100,15.80,[100.00,27.32,03.64]	35:A100,16.40,[100.00,03.20,22.32]	40:A100,14.90,[100.00,00.16,00.29]	45:A100,16.50,[100.00,24.42,20.23]	
