each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0:A100,18.60,[100.00,58.02,43.70]	5:A100,15.40,[100.00,45.50,48.30]	10:C180,16.10,[100.00,56.61,154.10]	15:A100,15.20,[100.00,29.83,19.14]	20:B220,20.20,[100.00,152.57,91.84]	25:A100,16.90,[100.00,17.92,15.33]	30:A100,14.50,[100.00,00.08,00.08]	35:C000,18.20,[100.00,57.86,76.46]	40:A100,17.60,[100.00,33.93,27.21]	45:A100,17.20,[100.00,06.74,05.70]	
0:C180,19.50,[100.00,58.02,136.47]	5:A100,15.90,[100.00,45.50,48.30]	10:C000,16.10,[100.00,56.61,108.15]	15:A100,15.70,[100.00,29.83,19.14]	20:B220,21.30,[100.00,181.52,91.84]	25:A100,17.40,[100.00,17.92,15.33]	30:A100,15.00,[100.00,00.08,00.08]	35:C180,19.10,[100.00,57.86,114.27]	40:A100,18.10,[100.00,33.93,27.21]	45:A100,17.70,[100.00,06.74,05.70]	
0:C180,20.40,[100.00,58.02,166.10]	5:C180,16.80,[100.00,45.50,92.55]	10:C180,17.00,[100.00,56.61,129.58]	15:A100,16.20,[100.00,29.83,19.14]	20:B000,21.30,[100.00,103.59,91.84]	25:A100,17.90,[100.00,17.92,15.33]	30:A100,15.50,[100.00,00.08,00.08]	35:C180,20.00,[100.00,57.86,138.28]	40:A100,18.60,[100.00,33.93,27.21]	45:A100,18.20,[100.00,06.74,05.70]	
0:C180,21.30,[100.00,58.02,175.56]	5:A100,17.30,[100.00,45.50,92.55]	10:C000,17.00,[100.00,56.61,90.94]	15:B220,17.30,[100.00,136.79,19.14]	20:A100,21.80,[100.00,103.59,91.84]	25:A100,18.40,[100.00,17.92,15.33]	30:A100,16.00,[100.00,00.08,00.08]	35:C180,20.90,[100.00,57.86,153.51]	40:B220,19.70,[100.00,191.24,27.21]	45:A100,18.70,[100.00,06.74,05.70]	
0:C180,22.20,[100.00,58.02,178.58]	5:A100,17.80,[100.00,45.50,92.55]	10:C180,17.90,[100.00,56.61,117.49]	15:A100,17.80,[100.00,136.79,19.14]	20:C180,22.70,[100.00,103.59,129.69]	25:A100,18.90,[100.00,17.92,15.33]	30:A100,16.50,[100.00,00.08,00.08]	35:A100,21.40,[100.00,57.86,153.51]	40:A100,20.20,[100.00,191.24,27.21]	45:A100,19.20,[100.00,06.74,05.70]	
0:C000,22.20,[100.00,58.02,57.04]	5:A100,18.30,[100.00,45.50,92.55]	10:C180,18.80,[100.00,56.61,136.13]	15:B000,17.80,[100.00,59.85,19.14]	20:C180,23.60,[100.00,103.59,151.29]	25:A100,19.40,[100.00,17.92,15.33]	30:A100,17.00,[100.00,00.08,00.08]	35:C000,21.40,[100.00,57.86,97.45]	40:B000,20.20,[100.00,29.56,27.21]	45:A100,19.70,[100.00,06.74,05.70]	
0:A100,22.70,[100.00,58.02,57.04]	5:C180,19.20,[100.00,45.50,121.94]	10:C000,18.80,[100.00,56.61,95.54]	15:A100,18.30,[100.00,59.85,19.14]	20:C000,23.60,[100.00,103.59,86.34]	25:A100,19.90,[100.00,17.92,15.33]	30:A100,17.50,[100.00,00.08,00.08]	35:A100,21.90,[100.00,57.86,97.45]	40:A100,20.70,[100.00,29.56,27.21]	45:A100,20.20,[100.00,06.74,05.70]	
0:A100,23.20,[100.00,58.02,57.04]	5:C000,19.20,[100.00,45.50,80.96]	10:A100,19.30,[100.00,56.61,95.54]	15:A100,18.80,[100.00,59.85,19.14]	20:B000,23.60,[100.00,59.12,86.34]	25:A100,20.40,[100.00,17.92,15.33]	30:A100,18.00,[100.00,00.08,00.08]	35:A100,22.40,[100.00,57.86,97.45]	40:A100,21.20,[100.00,29.56,27.21]	45:A100,20.70,[100.00,06.74,05.70]	
0:A100,23.70,[100.00,58.02,57.04]	5:C000,19.20,[100.00,45.50,53.76]	10:C000,19.30,[100.00,56.61,67.05]	15:A100,19.30,[100.00,59.85,19.14]	20:A100,24.10,[100.00,59.12,86.34]	25:A100,20.90,[100.00,17.92,15.33]	30:A100,18.50,[100.00,00.08,00.08]	35:C000,22.40,[100.00,57.86,61.86]	40:A100,21.70,[100.00,29.56,27.21]	45:A100,21.20,[100.00,06.74,05.70]	
0:C180,24.60,[100.00,58.02,140.73]	5:A100,19.70,[100.00,45.50,53.76]	10:A100,19.80,[100.00,56.61,67.05]	15:A100,19.80,[100.00,59.85,19.14]	20:C000,24.10,[100.00,59.12,49.27]	25:A100,21.40,[100.00,17.92,15.33]	30:A100,19.00,[100.00,00.08,00.08]	35:A100,22.90,[100.00,57.86,61.86]	40:A100,22.20,[100.00,29.56,27.21]	45:A100,21.70,[100.00,06.74,05.70]	
