each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100, 0.50,100.00,100.00,100.00	5:A100, 0.50,100.00,100.00,100.00	10:A100, 0.50,100.00,100.00,100.00	15:A100, 0.50,100.00,100.00,100.00	20:B220, 1.10,100.00,200.13,100.00	25:C000, 0.00,100.00,100.00,10.39	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:A100, 0.50,100.00,100.00,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,26.10,100.00,48.73,22.35	5:A100,18.40,100.00,16.60,27.67	10:A100,17.60,100.00, 5.79,29.20	15:A100,20.00,100.00,36.96,30.33	20:A100,19.10,100.00,35.59, 4.24	25:A100,20.50,100.00, 2.38,10.39	30:A100,19.20,100.00,12.35,22.21	35:A100,17.00,100.00, 1.83, 1.83	40:A100,20.60,100.00,17.70,32.07	45:A100,17.00,100.00,28.22, 2.25	
0:B000,26.10,100.00,10.89,22.35	5:A100,18.90,100.00,16.60,27.67	10:A100,18.10,100.00, 5.79,29.20	15:A100,20.50,100.00,36.96,30.33	20:A100,19.60,100.00,35.59, 4.24	25:A100,21.00,100.00, 2.38,10.39	30:A100,19.70,100.00,12.35,22.21	35:A100,17.50,100.00, 1.83, 1.83	40:A100,21.10,100.00,17.70,32.07	45:A100,17.50,100.00,28.22, 2.25	
0:A100,26.60,100.00,10.89,22.35	5:A100,19.40,100.00,16.60,27.67	10:A100,18.60,100.00, 5.79,29.20	15:A100,21.00,100.00,36.96,30.33	20:A100,20.10,100.00,35.59, 4.24	25:A100,21.50,100.00, 2.38,10.39	30:A100,20.20,100.00,12.35,22.21	35:A100,18.00,100.00, 1.83, 1.83	40:A100,21.60,100.00,17.70,32.07	45:A100,18.00,100.00,28.22, 2.25	
0:A100,27.10,100.00,10.89,22.35	5:A100,19.90,100.00,16.60,27.67	10:A100,19.10,100.00, 5.79,29.20	15:A100,21.50,100.00,36.96,30.33	20:A100,20.60,100.00,35.59, 4.24	25:A100,22.00,100.00, 2.38,10.39	30:A100,20.70,100.00,12.35,22.21	35:A100,18.50,100.00, 1.83, 1.83	40:A100,22.10,100.00,17.70,32.07	45:B000,18.00,100.00, 7.96, 2.25	
0:A100,27.60,100.00,10.89,22.35	5:A100,20.40,100.00,16.60,27.67	10:A100,19.60,100.00, 5.79,29.20	15:A100,22.00,100.00,36.96,30.33	20:B000,20.60,100.00, 5.89, 4.24	25:A100,22.50,100.00, 2.38,10.39	30:A100,21.20,100.00,12.35,22.21	35:A100,19.00,100.00, 1.83, 1.83	40:A100,22.60,100.00,17.70,32.07	45:A100,18.50,100.00, 7.96, 2.25	
0:A100,28.10,100.00,10.89,22.35	5:A100,20.90,100.00,16.60,27.67	10:A100,20.10,100.00, 5.79,29.20	15:A100,22.50,100.00,36.96,30.33	20:A100,21.10,100.00, 5.89, 4.24	25:A100,23.00,100.00, 2.38,10.39	30:A100,21.70,100.00,12.35,22.21	35:A100,19.50,100.00, 1.83, 1.83	40:A100,23.10,100.00,17.70,32.07	45:A100,19.00,100.00, 7.96, 2.25	
0:A100,28.60,100.00,10.89,22.35	5:A100,21.40,100.00,16.60,27.67	10:A100,20.60,100.00, 5.79,29.20	15:A100,23.00,100.00,36.96,30.33	20:A100,21.60,100.00, 5.89, 4.24	25:A100,23.50,100.00, 2.38,10.39	30:A100,22.20,100.00,12.35,22.21	35:B000,19.50,100.00, 0.25, 1.83	40:A100,23.60,100.00,17.70,32.07	45:A100,19.50,100.00, 7.96, 2.25	
0:A100,29.10,100.00,10.89,22.35	5:A100,21.90,100.00,16.60,27.67	10:A100,21.10,100.00, 5.79,29.20	15:B220,24.10,100.00,188.75,30.33	20:A100,22.10,100.00, 5.89, 4.24	25:A100,24.00,100.00, 2.38,10.39	30:A100,22.70,100.00,12.35,22.21	35:A100,20.00,100.00, 0.25, 1.83	40:A100,24.10,100.00,17.70,32.07	45:A100,20.00,100.00, 7.96, 2.25	
0:A100,29.60,100.00,10.89,22.35	5:A100,22.40,100.00,16.60,27.67	10:A100,21.60,100.00, 5.79,29.20	15:B000,24.10,100.00,32.23,30.33	20:A100,22.60,100.00, 5.89, 4.24	25:A100,24.50,100.00, 2.38,10.39	30:A100,23.20,100.00,12.35,22.21	35:A100,20.50,100.00, 0.25, 1.83	40:A100,24.60,100.00,17.70,32.07	45:A100,20.50,100.00, 7.96, 2.25	
0:A100,30.10,100.00,10.89,22.35	5:A100,22.90,100.00,16.60,27.67	10:A100,22.10,100.00, 5.79,29.20	15:A100,24.60,100.00,32.23,30.33	20:A100,23.10,100.00, 5.89, 4.24	25:A100,25.00,100.00, 2.38,10.39	30:A100,23.70,100.00,12.35,22.21	35:A100,21.00,100.00, 0.25, 1.83	40:A100,25.10,100.00,17.70,32.07	45:A100,21.00,100.00, 7.96, 2.25	
