each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 100

0:A100, 0.50,100.00,100.00,100.00	5:A100, 0.50,100.00,100.00,100.00	10:A100, 0.50,100.00,100.00,100.00	15:A100, 0.50,100.00,100.00,100.00	20:B220, 1.10,100.00,200.13,100.00	25:C000, 0.00,100.00,100.00,10.39	30:A100, 0.50,100.00,100.00,100.00	35:A100, 0.50,100.00,100.00,100.00	40:A100, 0.50,100.00,100.00,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,65.80,100.00,10.89, 1.99	5:A100,58.40,100.00,16.60, 4.59	10:A100,57.90,100.00, 1.02,30.85	15:A100,60.10,100.00,32.09,25.64	20:A100,59.10,100.00, 5.89, 4.24	25:A100,61.00,100.00, 2.38,10.39	30:A100,59.20,100.00, 1.53,22.21	35:A100,56.00,100.00, 0.25, 0.03	40:A100,61.10,100.00,17.70,32.07	45:A100,56.70,100.00, 7.96,14.01	
0:A100,66.30,100.00,10.89, 1.99	5:A100,58.90,100.00,16.60, 4.59	10:A100,58.40,100.00, 1.02,30.85	15:A100,60.60,100.00,32.09,25.64	20:A100,59.60,100.00, 5.89, 4.24	25:A100,61.50,100.00, 2.38,10.39	30:A100,59.70,100.00, 1.53,22.21	35:A100,56.50,100.00, 0.25, 0.03	40:A100,61.60,100.00,17.70,32.07	45:A100,57.20,100.00, 7.96,14.01	
0:A100,66.80,100.00,10.89, 1.99	5:A100,59.40,100.00,16.60, 4.59	10:A100,58.90,100.00, 1.02,30.85	15:A100,61.10,100.00,32.09,25.64	20:A100,60.10,100.00, 5.89, 4.24	25:A100,62.00,100.00, 2.38,10.39	30:A100,60.20,100.00, 1.53,22.21	35:A100,57.00,100.00, 0.25, 0.03	40:A100,62.10,100.00,17.70,32.07	45:A100,57.70,100.00, 7.96,14.01	
0:A100,67.30,100.00,10.89, 1.99	5:A100,59.90,100.00,16.60, 4.59	10:A100,59.40,100.00, 1.02,30.85	15:A100,61.60,100.00,32.09,25.64	20:A100,60.60,100.00, 5.89, 4.24	25:A100,62.50,100.00, 2.38,10.39	30:A100,60.70,100.00, 1.53,22.21	35:A100,57.50,100.00, 0.25, 0.03	40:A100,62.60,100.00,17.70,32.07	45:A100,58.20,100.00, 7.96,14.01	
0:A100,67.80,100.00,10.89, 1.99	5:A100,60.40,100.00,16.60, 4.59	10:A100,59.90,100.00, 1.02,30.85	15:A100,62.10,100.00,32.09,25.64	20:A100,61.10,100.00, 5.89, 4.24	25:A100,63.00,100.00, 2.38,10.39	30:A100,61.20,100.00, 1.53,22.21	35:A100,58.00,100.00, 0.25, 0.03	40:A100,63.10,100.00,17.70,32.07	45:A100,58.70,100.00, 7.96,14.01	
0:A100,68.30,100.00,10.89, 1.99	5:A100,60.90,100.00,16.60, 4.59	10:A100,60.40,100.00, 1.02,30.85	15:A100,62.60,100.00,32.09,25.64	20:A100,61.60,100.00, 5.89, 4.24	25:A100,63.50,100.00, 2.38,10.39	30:A100,61.70,100.00, 1.53,22.21	35:A100,58.50,100.00, 0.25, 0.03	40:B000,63.10,100.00, 5.68,32.07	45:A100,59.20,100.00, 7.96,14.01	
0:A100,68.80,100.00,10.89, 1.99	5:A100,61.40,100.00,16.60, 4.59	10:A100,60.90,100.00, 1.02,30.85	15:A100,63.10,100.00,32.09,25.64	20:A100,62.10,100.00, 5.89, 4.24	25:A100,64.00,100.00, 2.38,10.39	30:A100,62.20,100.00, 1.53,22.21	35:A100,59.00,100.00, 0.25, 0.03	40:A100,63.60,100.00, 5.68,32.07	45:A100,59.70,100.00, 7.96,14.01	
0:A100,69.30,100.00,10.89, 1.99	5:A100,61.90,100.00,16.60, 4.59	10:A100,61.40,100.00, 1.02,30.85	15:A100,63.60,100.00,32.09,25.64	20:A100,62.60,100.00, 5.89, 4.24	25:A100,64.50,100.00, 2.38,10.39	30:A100,62.70,100.00, 1.53,22.21	35:A100,59.50,100.00, 0.25, 0.03	40:A100,64.10,100.00, 5.68,32.07	45:A100,60.20,100.00, 7.96,14.01	
0:A100,69.80,100.00,10.89, 1.99	5:A100,62.40,100.00,16.60, 4.59	10:A100,61.90,100.00, 1.02,30.85	15:A100,64.10,100.00,32.09,25.64	20:A100,63.10,100.00, 5.89, 4.24	25:B220,65.60,100.00,197.39,10.39	30:A100,63.20,100.00, 1.53,22.21	35:A100,60.00,100.00, 0.25, 0.03	40:A100,64.60,100.00, 5.68,32.07	45:A100,60.70,100.00, 7.96,14.01	
0:A100,70.30,100.00,10.89, 1.99	5:A100,62.90,100.00,16.60, 4.59	10:A100,62.40,100.00, 1.02,30.85	15:A100,64.60,100.00,32.09,25.64	20:A100,63.60,100.00, 5.89, 4.24	25:B220,66.70,100.00,217.65,10.39	30:A100,63.70,100.00, 1.53,22.21	35:A100,60.50,100.00, 0.25, 0.03	40:A100,65.10,100.00, 5.68,32.07	45:A100,61.20,100.00, 7.96,14.01	
0:A100,70.80,100.00,10.89, 1.99	5:A100,63.40,100.00,16.60, 4.59	10:A100,62.90,100.00, 1.02,30.85	15:A100,65.10,100.00,32.09,25.64	20:A100,64.10,100.00, 5.89, 4.24	25:B220,67.80,100.00,219.76,10.39	30:A100,64.20,100.00, 1.53,22.21	35:A100,61.00,100.00, 0.25, 0.03	40:A100,65.60,100.00, 5.68,32.07	45:A100,61.70,100.00, 7.96,14.01	
0:A100,71.30,100.00,10.89, 1.99	5:A100,63.90,100.00,16.60, 4.59	10:A100,63.40,100.00, 1.02,30.85	15:A100,65.60,100.00,32.09,25.64	20:A100,64.60,100.00, 5.89, 4.24	25:B220,68.90,100.00,219.97,10.39	30:C000,64.20,100.00, 1.53, 2.74	35:C180,61.90,100.00, 0.25,155.66	40:B000,65.60,100.00, 1.82,32.07	45:A100,62.20,100.00, 7.96,14.01	
0:A100,71.80,100.00,10.89, 1.99	5:A100,64.40,100.00,16.60, 4.59	10:A100,63.90,100.00, 1.02,30.85	15:A100,66.10,100.00,32.09,25.64	20:A100,65.10,100.00, 5.89, 4.24	25:B220,70.00,100.00,220.00,10.39	30:A100,64.70,100.00, 1.53, 2.74	35:C180,62.80,100.00, 0.25,176.71	40:A100,66.10,100.00, 1.82,32.07	45:A100,62.70,100.00, 7.96,14.01	
0:A100,72.30,100.00,10.89, 1.99	5:A100,64.90,100.00,16.60, 4.59	10:A100,64.40,100.00, 1.02,30.85	15:A100,66.60,100.00,32.09,25.64	20:A100,65.60,100.00, 5.89, 4.24	25:B220,71.10,100.00,220.00,10.39	30:A100,65.20,100.00, 1.53, 2.74	35:C000,62.80,100.00, 0.25,23.90	40:A100,66.60,100.00, 1.82,32.07	45:A100,63.20,100.00, 7.96,14.01	
0:A100,72.80,100.00,10.89, 1.99	5:A100,65.40,100.00,16.60, 4.59	10:A100,64.90,100.00, 1.02,30.85	15:A100,67.10,100.00,32.09,25.64	20:A100,66.10,100.00, 5.89, 4.24	25:B220,72.20,100.00,220.00,10.39	30:A100,65.70,100.00, 1.53, 2.74	35:A100,63.30,100.00, 0.25,23.90	40:A100,67.10,100.00, 1.82,32.07	45:A100,63.70,100.00, 7.96,14.01	
0:A100,73.30,100.00,10.89, 1.99	5:A100,65.90,100.00,16.60, 4.59	10:A100,65.40,100.00, 1.02,30.85	15:A100,67.60,100.00,32.09,25.64	20:A100,66.60,100.00, 5.89, 4.24	25:B000,72.20,100.00,22.86,10.39	30:A100,66.20,100.00, 1.53, 2.74	35:A100,63.80,100.00, 0.25,23.90	40:A100,67.60,100.00, 1.82,32.07	45:A100,64.20,100.00, 7.96,14.01	
0:A100,73.80,100.00,10.89, 1.99	5:A100,66.40,100.00,16.60, 4.59	10:A100,65.90,100.00, 1.02,30.85	15:A100,68.10,100.00,32.09,25.64	20:A100,67.10,100.00, 5.89, 4.24	25:A100,72.70,100.00,22.86,10.39	30:A100,66.70,100.00, 1.53, 2.74	35:A100,64.30,100.00, 0.25,23.90	40:A100,68.10,100.00, 1.82,32.07	45:A100,64.70,100.00, 7.96,14.01	
0:A100,74.30,100.00,10.89, 1.99	5:A100,66.90,100.00,16.60, 4.59	10:A100,66.40,100.00, 1.02,30.85	15:A100,68.60,100.00,32.09,25.64	20:A100,67.60,100.00, 5.89, 4.24	25:A100,73.20,100.00,22.86,10.39	30:A100,67.20,100.00, 1.53, 2.74	35:A100,64.80,100.00, 0.25,23.90	40:A100,68.60,100.00, 1.82,32.07	45:A100,65.20,100.00, 7.96,14.01	
0:A100,74.80,100.00,10.89, 1.99	5:A100,67.40,100.00,16.60, 4.59	10:A100,66.90,100.00, 1.02,30.85	15:A100,69.10,100.00,32.09,25.64	20:A100,68.10,100.00, 5.89, 4.24	25:A100,73.70,100.00,22.86,10.39	30:A100,67.70,100.00, 1.53, 2.74	35:A100,65.30,100.00, 0.25,23.90	40:A100,69.10,100.00, 1.82,32.07	45:A100,65.70,100.00, 7.96,14.01	
0:A100,75.30,100.00,10.89, 1.99	5:A100,67.90,100.00,16.60, 4.59	10:A100,67.40,100.00, 1.02,30.85	15:A100,69.60,100.00,32.09,25.64	20:A100,68.60,100.00, 5.89, 4.24	25:A100,74.20,100.00,22.86,10.39	30:A100,68.20,100.00, 1.53, 2.74	35:A100,65.80,100.00, 0.25,23.90	40:A100,69.60,100.00, 1.82,32.07	45:A100,66.20,100.00, 7.96,14.01	
0:A100,75.80,100.00,10.89, 1.99	5:A100,68.40,100.00,16.60, 4.59	10:A100,67.90,100.00, 1.02,30.85	15:A100,70.10,100.00,32.09,25.64	20:A100,69.10,100.00, 5.89, 4.24	25:A100,74.70,100.00,22.86,10.39	30:A100,68.70,100.00, 1.53, 2.74	35:A100,66.30,100.00, 0.25,23.90	40:A100,70.10,100.00, 1.82,32.07	45:A100,66.70,100.00, 7.96,14.01	
0:A100,76.30,100.00,10.89, 1.99	5:A100,68.90,100.00,16.60, 4.59	10:A100,68.40,100.00, 1.02,30.85	15:A100,70.60,100.00,32.09,25.64	20:A100,69.60,100.00, 5.89, 4.24	25:A100,75.20,100.00,22.86,10.39	30:A100,69.20,100.00, 1.53, 2.74	35:A100,66.80,100.00, 0.25,23.90	40:A100,70.60,100.00, 1.82,32.07	45:A100,67.20,100.00, 7.96,14.01	
0:A100,76.80,100.00,10.89, 1.99	5:A100,69.40,100.00,16.60, 4.59	10:A100,68.90,100.00, 1.02,30.85	15:A100,71.10,100.00,32.09,25.64	20:A100,70.10,100.00, 5.89, 4.24	25:A100,75.70,100.00,22.86,10.39	30:A100,69.70,100.00, 1.53, 2.74	35:A100,67.30,100.00, 0.25,23.90	40:A100,71.10,100.00, 1.82,32.07	45:A100,67.70,100.00, 7.96,14.01	
0:A100,77.30,100.00,10.89, 1.99	5:A100,69.90,100.00,16.60, 4.59	10:A100,69.40,100.00, 1.02,30.85	15:A100,71.60,100.00,32.09,25.64	20:A100,70.60,100.00, 5.89, 4.24	25:A100,76.20,100.00,22.86,10.39	30:A100,70.20,100.00, 1.53, 2.74	35:A100,67.80,100.00, 0.25,23.90	40:A100,71.60,100.00, 1.82,32.07	45:A100,68.20,100.00, 7.96,14.01	
0:A100,77.80,100.00,10.89, 1.99	5:A100,70.40,100.00,16.60, 4.59	10:A100,69.90,100.00, 1.02,30.85	15:A100,72.10,100.00,32.09,25.64	20:A100,71.10,100.00, 5.89, 4.24	25:A100,76.70,100.00,22.86,10.39	30:A100,70.70,100.00, 1.53, 2.74	35:A100,68.30,100.00, 0.25,23.90	40:A100,72.10,100.00, 1.82,32.07	45:A100,68.70,100.00, 7.96,14.01	
0:A100,78.30,100.00,10.89, 1.99	5:A100,70.90,100.00,16.60, 4.59	10:A100,70.40,100.00, 1.02,30.85	15:A100,72.60,100.00,32.09,25.64	20:A100,71.60,100.00, 5.89, 4.24	25:B000,76.70,100.00, 2.38,10.39	30:A100,71.20,100.00, 1.53, 2.74	35:A100,68.80,100.00, 0.25,23.90	40:A100,72.60,100.00, 1.82,32.07	45:A100,69.20,100.00, 7.96,14.01	
0:A100,78.80,100.00,10.89, 1.99	5:A100,71.40,100.00,16.60, 4.59	10:A100,70.90,100.00, 1.02,30.85	15:B000,72.60,100.00, 5.48,25.64	20:A100,72.10,100.00, 5.89, 4.24	25:A100,77.20,100.00, 2.38,10.39	30:A100,71.70,100.00, 1.53, 2.74	35:A100,69.30,100.00, 0.25,23.90	40:A100,73.10,100.00, 1.82,32.07	45:A100,69.70,100.00, 7.96,14.01	
0:A100,79.30,100.00,10.89, 1.99	5:A100,71.90,100.00,16.60, 4.59	10:A100,71.40,100.00, 1.02,30.85	15:A100,73.10,100.00, 5.48,25.64	20:A100,72.60,100.00, 5.89, 4.24	25:A100,77.70,100.00, 2.38,10.39	30:A100,72.20,100.00, 1.53, 2.74	35:A100,69.80,100.00, 0.25,23.90	40:A100,73.60,100.00, 1.82,32.07	45:A100,70.20,100.00, 7.96,14.01	
0:A100,79.80,100.00,10.89, 1.99	5:A100,72.40,100.00,16.60, 4.59	10:A100,71.90,100.00, 1.02,30.85	15:A100,73.60,100.00, 5.48,25.64	20:A100,73.10,100.00, 5.89, 4.24	25:A100,78.20,100.00, 2.38,10.39	30:A100,72.70,100.00, 1.53, 2.74	35:A100,70.30,100.00, 0.25,23.90	40:A100,74.10,100.00, 1.82,32.07	45:A100,70.70,100.00, 7.96,14.01	
0:A100,80.30,100.00,10.89, 1.99	5:A100,72.90,100.00,16.60, 4.59	10:A100,72.40,100.00, 1.02,30.85	15:A100,74.10,100.00, 5.48,25.64	20:A100,73.60,100.00, 5.89, 4.24	25:A100,78.70,100.00, 2.38,10.39	30:A100,73.20,100.00, 1.53, 2.74	35:A100,70.80,100.00, 0.25,23.90	40:A100,74.60,100.00, 1.82,32.07	45:A100,71.20,100.00, 7.96,14.01	
0:A100,80.80,100.00,10.89, 1.99	5:A100,73.40,100.00,16.60, 4.59	10:A100,72.90,100.00, 1.02,30.85	15:A100,74.60,100.00, 5.48,25.64	20:A100,74.10,100.00, 5.89, 4.24	25:A100,79.20,100.00, 2.38,10.39	30:A100,73.70,100.00, 1.53, 2.74	35:A100,71.30,100.00, 0.25,23.90	40:A100,75.10,100.00, 1.82,32.07	45:A100,71.70,100.00, 7.96,14.01	
0:A100,81.30,100.00,10.89, 1.99	5:A100,73.90,100.00,16.60, 4.59	10:A100,73.40,100.00, 1.02,30.85	15:A100,75.10,100.00, 5.48,25.64	20:A100,74.60,100.00, 5.89, 4.24	25:A100,79.70,100.00, 2.38,10.39	30:A100,74.20,100.00, 1.53, 2.74	35:A100,71.80,100.00, 0.25,23.90	40:A100,75.60,100.00, 1.82,32.07	45:A100,72.20,100.00, 7.96,14.01	
0:A100,81.80,100.00,10.89, 1.99	5:A100,74.40,100.00,16.60, 4.59	10:A100,73.90,100.00, 1.02,30.85	15:A100,75.60,100.00, 5.48,25.64	20:A100,75.10,100.00, 5.89, 4.24	25:A100,80.20,100.00, 2.38,10.39	30:A100,74.70,100.00, 1.53, 2.74	35:A100,72.30,100.00, 0.25,23.90	40:A100,76.10,100.00, 1.82,32.07	45:A100,72.70,100.00, 7.96,14.01	
0:A100,82.30,100.00,10.89, 1.99	5:A100,74.90,100.00,16.60, 4.59	10:A100,74.40,100.00, 1.02,30.85	15:A100,76.10,100.00, 5.48,25.64	20:A100,75.60,100.00, 5.89, 4.24	25:A100,80.70,100.00, 2.38,10.39	30:A100,75.20,100.00, 1.53, 2.74	35:A100,72.80,100.00, 0.25,23.90	40:A100,76.60,100.00, 1.82,32.07	45:A100,73.20,100.00, 7.96,14.01	
0:A100,82.80,100.00,10.89, 1.99	5:A100,75.40,100.00,16.60, 4.59	10:A100,74.90,100.00, 1.02,30.85	15:A100,76.60,100.00, 5.48,25.64	20:A100,76.10,100.00, 5.89, 4.24	25:A100,81.20,100.00, 2.38,10.39	30:A100,75.70,100.00, 1.53, 2.74	35:A100,73.30,100.00, 0.25,23.90	40:C000,76.60,100.00, 1.82,10.29	45:A100,73.70,100.00, 7.96,14.01	
0:A100,83.30,100.00,10.89, 1.99	5:A100,75.90,100.00,16.60, 4.59	10:A100,75.40,100.00, 1.02,30.85	15:A100,77.10,100.00, 5.48,25.64	20:A100,76.60,100.00, 5.89, 4.24	25:A100,81.70,100.00, 2.38,10.39	30:A100,76.20,100.00, 1.53, 2.74	35:A100,73.80,100.00, 0.25,23.90	40:A100,77.10,100.00, 1.82,10.29	45:A100,74.20,100.00, 7.96,14.01	
0:A100,83.80,100.00,10.89, 1.99	5:A100,76.40,100.00,16.60, 4.59	10:A100,75.90,100.00, 1.02,30.85	15:A100,77.60,100.00, 5.48,25.64	20:A100,77.10,100.00, 5.89, 4.24	25:A100,82.20,100.00, 2.38,10.39	30:A100,76.70,100.00, 1.53, 2.74	35:A100,74.30,100.00, 0.25,23.90	40:A100,77.60,100.00, 1.82,10.29	45:A100,74.70,100.00, 7.96,14.01	
0:A100,84.30,100.00,10.89, 1.99	5:A100,76.90,100.00,16.60, 4.59	10:A100,76.40,100.00, 1.02,30.85	15:A100,78.10,100.00, 5.48,25.64	20:A100,77.60,100.00, 5.89, 4.24	25:A100,82.70,100.00, 2.38,10.39	30:A100,77.20,100.00, 1.53, 2.74	35:A100,74.80,100.00, 0.25,23.90	40:A100,78.10,100.00, 1.82,10.29	45:A100,75.20,100.00, 7.96,14.01	
0:A100,84.80,100.00,10.89, 1.99	5:A100,77.40,100.00,16.60, 4.59	10:A100,76.90,100.00, 1.02,30.85	15:A100,78.60,100.00, 5.48,25.64	20:A100,78.10,100.00, 5.89, 4.24	25:A100,83.20,100.00, 2.38,10.39	30:A100,77.70,100.00, 1.53, 2.74	35:A100,75.30,100.00, 0.25,23.90	40:A100,78.60,100.00, 1.82,10.29	45:A100,75.70,100.00, 7.96,14.01	
0:A100,85.30,100.00,10.89, 1.99	5:A100,77.90,100.00,16.60, 4.59	10:A100,77.40,100.00, 1.02,30.85	15:A100,79.10,100.00, 5.48,25.64	20:A100,78.60,100.00, 5.89, 4.24	25:A100,83.70,100.00, 2.38,10.39	30:A100,78.20,100.00, 1.53, 2.74	35:A100,75.80,100.00, 0.25,23.90	40:A100,79.10,100.00, 1.82,10.29	45:A100,76.20,100.00, 7.96,14.01	
0:A100,85.80,100.00,10.89, 1.99	5:A100,78.40,100.00,16.60, 4.59	10:A100,77.90,100.00, 1.02,30.85	15:A100,79.60,100.00, 5.48,25.64	20:A100,79.10,100.00, 5.89, 4.24	25:A100,84.20,100.00, 2.38,10.39	30:A100,78.70,100.00, 1.53, 2.74	35:A100,76.30,100.00, 0.25,23.90	40:A100,79.60,100.00, 1.82,10.29	45:A100,76.70,100.00, 7.96,14.01	
0:A100,86.30,100.00,10.89, 1.99	5:A100,78.90,100.00,16.60, 4.59	10:A100,78.40,100.00, 1.02,30.85	15:A100,80.10,100.00, 5.48,25.64	20:A100,79.60,100.00, 5.89, 4.24	25:A100,84.70,100.00, 2.38,10.39	30:A100,79.20,100.00, 1.53, 2.74	35:A100,76.80,100.00, 0.25,23.90	40:A100,80.10,100.00, 1.82,10.29	45:A100,77.20,100.00, 7.96,14.01	
0:A100,86.80,100.00,10.89, 1.99	5:A100,79.40,100.00,16.60, 4.59	10:A100,78.90,100.00, 1.02,30.85	15:A100,80.60,100.00, 5.48,25.64	20:A100,80.10,100.00, 5.89, 4.24	25:A100,85.20,100.00, 2.38,10.39	30:A100,79.70,100.00, 1.53, 2.74	35:A100,77.30,100.00, 0.25,23.90	40:A100,80.60,100.00, 1.82,10.29	45:A100,77.70,100.00, 7.96,14.01	
0:A100,87.30,100.00,10.89, 1.99	5:A100,79.90,100.00,16.60, 4.59	10:A100,79.40,100.00, 1.02,30.85	15:A100,81.10,100.00, 5.48,25.64	20:A100,80.60,100.00, 5.89, 4.24	25:A100,85.70,100.00, 2.38,10.39	30:A100,80.20,100.00, 1.53, 2.74	35:A100,77.80,100.00, 0.25,23.90	40:A100,81.10,100.00, 1.82,10.29	45:A100,78.20,100.00, 7.96,14.01	
0:A100,87.80,100.00,10.89, 1.99	5:A100,80.40,100.00,16.60, 4.59	10:A100,79.90,100.00, 1.02,30.85	15:A100,81.60,100.00, 5.48,25.64	20:A100,81.10,100.00, 5.89, 4.24	25:A100,86.20,100.00, 2.38,10.39	30:A100,80.70,100.00, 1.53, 2.74	35:A100,78.30,100.00, 0.25,23.90	40:A100,81.60,100.00, 1.82,10.29	45:A100,78.70,100.00, 7.96,14.01	
0:A100,88.30,100.00,10.89, 1.99	5:A100,80.90,100.00,16.60, 4.59	10:A100,80.40,100.00, 1.02,30.85	15:A100,82.10,100.00, 5.48,25.64	20:A100,81.60,100.00, 5.89, 4.24	25:A100,86.70,100.00, 2.38,10.39	30:A100,81.20,100.00, 1.53, 2.74	35:A100,78.80,100.00, 0.25,23.90	40:A100,82.10,100.00, 1.82,10.29	45:A100,79.20,100.00, 7.96,14.01	
0:A100,88.80,100.00,10.89, 1.99	5:A100,81.40,100.00,16.60, 4.59	10:A100,80.90,100.00, 1.02,30.85	15:A100,82.60,100.00, 5.48,25.64	20:A100,82.10,100.00, 5.89, 4.24	25:A100,87.20,100.00, 2.38,10.39	30:A100,81.70,100.00, 1.53, 2.74	35:A100,79.30,100.00, 0.25,23.90	40:A100,82.60,100.00, 1.82,10.29	45:A100,79.70,100.00, 7.96,14.01	
0:A100,89.30,100.00,10.89, 1.99	5:A100,81.90,100.00,16.60, 4.59	10:A100,81.40,100.00, 1.02,30.85	15:A100,83.10,100.00, 5.48,25.64	20:A100,82.60,100.00, 5.89, 4.24	25:A100,87.70,100.00, 2.38,10.39	30:A100,82.20,100.00, 1.53, 2.74	35:A100,79.80,100.00, 0.25,23.90	40:A100,83.10,100.00, 1.82,10.29	45:A100,80.20,100.00, 7.96,14.01	
0:A100,89.80,100.00,10.89, 1.99	5:A100,82.40,100.00,16.60, 4.59	10:A100,81.90,100.00, 1.02,30.85	15:A100,83.60,100.00, 5.48,25.64	20:A100,83.10,100.00, 5.89, 4.24	25:A100,88.20,100.00, 2.38,10.39	30:A100,82.70,100.00, 1.53, 2.74	35:A100,80.30,100.00, 0.25,23.90	40:A100,83.60,100.00, 1.82,10.29	45:A100,80.70,100.00, 7.96,14.01	
0:A100,90.30,100.00,10.89, 1.99	5:A100,82.90,100.00,16.60, 4.59	10:A100,82.40,100.00, 1.02,30.85	15:A100,84.10,100.00, 5.48,25.64	20:A100,83.60,100.00, 5.89, 4.24	25:A100,88.70,100.00, 2.38,10.39	30:A100,83.20,100.00, 1.53, 2.74	35:A100,80.80,100.00, 0.25,23.90	40:A100,84.10,100.00, 1.82,10.29	45:B220,81.80,100.00,160.16,14.01	
0:A100,90.80,100.00,10.89, 1.99	5:A100,83.40,100.00,16.60, 4.59	10:A100,82.90,100.00, 1.02,30.85	15:A100,84.60,100.00, 5.48,25.64	20:A100,84.10,100.00, 5.89, 4.24	25:A100,89.20,100.00, 2.38,10.39	30:A100,83.70,100.00, 1.53, 2.74	35:A100,81.30,100.00, 0.25,23.90	40:A100,84.60,100.00, 1.82,10.29	45:B000,81.80,100.00,45.20,14.01	
0:A100,91.30,100.00,10.89, 1.99	5:A100,83.90,100.00,16.60, 4.59	10:A100,83.40,100.00, 1.02,30.85	15:A100,85.10,100.00, 5.48,25.64	20:A100,84.60,100.00, 5.89, 4.24	25:A100,89.70,100.00, 2.38,10.39	30:A100,84.20,100.00, 1.53, 2.74	35:A100,81.80,100.00, 0.25,23.90	40:A100,85.10,100.00, 1.82,10.29	45:A100,82.30,100.00,45.20,14.01	
0:A100,91.80,100.00,10.89, 1.99	5:A100,84.40,100.00,16.60, 4.59	10:A100,83.90,100.00, 1.02,30.85	15:A100,85.60,100.00, 5.48,25.64	20:A100,85.10,100.00, 5.89, 4.24	25:A100,90.20,100.00, 2.38,10.39	30:A100,84.70,100.00, 1.53, 2.74	35:A100,82.30,100.00, 0.25,23.90	40:A100,85.60,100.00, 1.82,10.29	45:A100,82.80,100.00,45.20,14.01	
0:A100,92.30,100.00,10.89, 1.99	5:A100,84.90,100.00,16.60, 4.59	10:A100,84.40,100.00, 1.02,30.85	15:A100,86.10,100.00, 5.48,25.64	20:A100,85.60,100.00, 5.89, 4.24	25:A100,90.70,100.00, 2.38,10.39	30:A100,85.20,100.00, 1.53, 2.74	35:A100,82.80,100.00, 0.25,23.90	40:A100,86.10,100.00, 1.82,10.29	45:A100,83.30,100.00,45.20,14.01	
0:A100,92.80,100.00,10.89, 1.99	5:A100,85.40,100.00,16.60, 4.59	10:A100,84.90,100.00, 1.02,30.85	15:A100,86.60,100.00, 5.48,25.64	20:A100,86.10,100.00, 5.89, 4.24	25:A100,91.20,100.00, 2.38,10.3
