each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100, 0.50,100.00,100.00,100.00	5:B000, 0.00,100.00,25.55,100.00	10:B000, 0.00,100.00, 7.01,100.00	15:C180, 0.90,100.00,100.00,171.97	20:A100, 0.50,100.00,100.00,100.00	25:C000, 0.00,100.00,100.00,30.57	30:B000, 0.00,100.00, 2.53,100.00	35:C000, 0.00,100.00,100.00,26.43	40:B220, 1.10,100.00,199.14,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,11.70,100.00,19.72, 1.39	5:A100,12.90,100.00,25.55,45.96	10:A100,11.00,100.00, 7.01, 7.01	15:A100,12.60,100.00,10.03,18.06	20:A100,10.90,100.00,66.97,36.02	25:A100,10.60,100.00,17.13, 9.34	30:A100,11.40,100.00, 2.53, 4.50	35:A100,10.50,100.00,26.43, 6.98	40:A100,11.10,100.00, 6.02,17.38	45:A100,11.40,100.00, 2.19, 3.90	
0:A100,12.20,100.00,19.72, 1.39	5:A100,13.40,100.00,25.55,45.96	10:A100,11.50,100.00, 7.01, 7.01	15:A100,13.10,100.00,10.03,18.06	20:A100,11.40,100.00,66.97,36.02	25:A100,11.10,100.00,17.13, 9.34	30:A100,11.90,100.00, 2.53, 4.50	35:A100,11.00,100.00,26.43, 6.98	40:A100,11.60,100.00, 6.02,17.38	45:A100,11.90,100.00, 2.19, 3.90	
0:A100,12.70,100.00,19.72, 1.39	5:A100,13.90,100.00,25.55,45.96	10:A100,12.00,100.00, 7.01, 7.01	15:A100,13.60,100.00,10.03,18.06	20:A100,11.90,100.00,66.97,36.02	25:A100,11.60,100.00,17.13, 9.34	30:A100,12.40,100.00, 2.53, 4.50	35:A100,11.50,100.00,26.43, 6.98	40:A100,12.10,100.00, 6.02,17.38	45:A100,12.40,100.00, 2.19, 3.90	
0:A100,13.20,100.00,19.72, 1.39	5:A100,14.40,100.00,25.55,45.96	10:A100,12.50,100.00, 7.01, 7.01	15:A100,14.10,100.00,10.03,18.06	20:A100,12.40,100.00,66.97,36.02	25:A100,12.10,100.00,17.13, 9.34	30:A100,12.90,100.00, 2.53, 4.50	35:A100,12.00,100.00,26.43, 6.98	40:A100,12.60,100.00, 6.02,17.38	45:C180,13.30,100.00, 2.19,176.15	
0:A100,13.70,100.00,19.72, 1.39	5:A100,14.90,100.00,25.55,45.96	10:A100,13.00,100.00, 7.01, 7.01	15:A100,14.60,100.00,10.03,18.06	20:A100,12.90,100.00,66.97,36.02	25:A100,12.60,100.00,17.13, 9.34	30:A100,13.40,100.00, 2.53, 4.50	35:A100,12.50,100.00,26.43, 6.98	40:A100,13.10,100.00, 6.02,17.38	45:C180,14.20,100.00, 2.19,179.92	
0:A100,14.20,100.00,19.72, 1.39	5:A100,15.40,100.00,25.55,45.96	10:A100,13.50,100.00, 7.01, 7.01	15:A100,15.10,100.00,10.03,18.06	20:A100,13.40,100.00,66.97,36.02	25:A100,13.10,100.00,17.13, 9.34	30:A100,13.90,100.00, 2.53, 4.50	35:A100,13.00,100.00,26.43, 6.98	40:A100,13.60,100.00, 6.02,17.38	45:C180,15.10,100.00, 2.19,180.00	
0:A100,14.70,100.00,19.72, 1.39	5:A100,15.90,100.00,25.55,45.96	10:A100,14.00,100.00, 7.01, 7.01	15:A100,15.60,100.00,10.03,18.06	20:A100,13.90,100.00,66.97,36.02	25:A100,13.60,100.00,17.13, 9.34	30:A100,14.40,100.00, 2.53, 4.50	35:A100,13.50,100.00,26.43, 6.98	40:C000,13.60,100.00, 6.02, 3.02	45:C000,15.10,100.00, 2.19, 3.93	
0:A100,15.20,100.00,19.72, 1.39	5:A100,16.40,100.00,25.55,45.96	10:A100,14.50,100.00, 7.01, 7.01	15:A100,16.10,100.00,10.03,18.06	20:A100,14.40,100.00,66.97,36.02	25:A100,14.10,100.00,17.13, 9.34	30:A100,14.90,100.00, 2.53, 4.50	35:A100,14.00,100.00,26.43, 6.98	40:A100,14.10,100.00, 6.02, 3.02	45:A100,15.60,100.00, 2.19, 3.93	
0:A100,15.70,100.00,19.72, 1.39	5:A100,16.90,100.00,25.55,45.96	10:B220,15.60,100.00,205.06, 7.01	15:B220,17.20,100.00,198.94,18.06	20:A100,14.90,100.00,66.97,36.02	25:A100,14.60,100.00,17.13, 9.34	30:A100,15.40,100.00, 2.53, 4.50	35:A100,14.50,100.00,26.43, 6.98	40:A100,14.60,100.00, 6.02, 3.02	45:A100,16.10,100.00, 2.19, 3.93	
0:A100,16.20,100.00,19.72, 1.39	5:C180,17.80,100.00,25.55,145.75	10:B220,16.70,100.00,218.95, 7.01	15:B000,17.20,100.00,19.96,18.06	20:A100,15.40,100.00,66.97,36.02	25:A100,15.10,100.00,17.13, 9.34	30:A100,15.90,100.00, 2.53, 4.50	35:A100,15.00,100.00,26.43, 6.98	40:A100,15.10,100.00, 6.02, 3.02	45:A100,16.60,100.00, 2.19, 3.93	
0:A100,16.70,100.00,19.72, 1.39	5:C180,18.70,100.00,25.55,171.25	10:B220,17.80,100.00,219.93, 7.01	15:A100,17.70,100.00,19.96,18.06	20:A100,15.90,100.00,66.97,36.02	25:A100,15.60,100.00,17.13, 9.34	30:A100,16.40,100.00, 2.53, 4.50	35:A100,15.50,100.00,26.43, 6.98	40:A100,15.60,100.00, 6.02, 3.02	45:A100,17.10,100.00, 2.19, 3.93	
0:A100,17.20,100.00,19.72, 1.39	5:C180,19.60,100.00,25.55,177.76	10:B220,18.90,100.00,219.99, 7.01	15:A100,18.20,100.00,19.96,18.06	20:A100,16.40,100.00,66.97,36.02	25:A100,16.10,100.00,17.13, 9.34	30:A100,16.90,100.00, 2.53, 4.50	35:A100,16.00,100.00,26.43, 6.98	40:A100,16.10,100.00, 6.02, 3.02	45:A100,17.60,100.00, 2.19, 3.93	
