each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 200

0:A100, 0.50,100.00,100.00,100.00	5:B000, 0.00,100.00,25.55,100.00	10:B000, 0.00,100.00, 7.01,100.00	15:C180, 0.90,100.00,100.00,171.97	20:A100, 0.50,100.00,100.00,100.00	25:C000, 0.00,100.00,100.00,30.57	30:B000, 0.00,100.00, 2.53,100.00	35:C000, 0.00,100.00,100.00,26.43	40:B220, 1.10,100.00,199.14,100.00	45:A100, 0.50,100.00,100.00,100.00	
0:A100,58.90,100.00,19.72,14.70	5:A100,62.30,100.00,14.19,11.71	10:A100,57.90,100.00, 1.08, 0.03	15:A100,59.00,100.00, 2.00,17.89	20:A100,56.80,100.00, 9.49,58.05	25:A100,56.60,100.00,17.13, 2.86	30:A100,59.90,100.00, 5.43, 4.50	35:A100,59.70,100.00,12.38, 6.98	40:A100,56.60,100.00, 1.05, 3.02	45:A100,59.30,100.00, 4.81, 3.93	
0:A100,59.40,100.00,19.72,14.70	5:A100,62.80,100.00,14.19,11.71	10:A100,58.40,100.00, 1.08, 0.03	15:A100,59.50,100.00, 2.00,17.89	20:A100,57.30,100.00, 9.49,58.05	25:A100,57.10,100.00,17.13, 2.86	30:A100,60.40,100.00, 5.43, 4.50	35:A100,60.20,100.00,12.38, 6.98	40:A100,57.10,100.00, 1.05, 3.02	45:A100,59.80,100.00, 4.81, 3.93	
0:A100,59.90,100.00,19.72,14.70	5:A100,63.30,100.00,14.19,11.71	10:A100,58.90,100.00, 1.08, 0.03	15:A100,60.00,100.00, 2.00,17.89	20:A100,57.80,100.00, 9.49,58.05	25:A100,57.60,100.00,17.13, 2.86	30:A100,60.90,100.00, 5.43, 4.50	35:A100,60.70,100.00,12.38, 6.98	40:A100,57.60,100.00, 1.05, 3.02	45:A100,60.30,100.00, 4.81, 3.93	
0:A100,60.40,100.00,19.72,14.70	5:A100,63.80,100.00,14.19,11.71	10:A100,59.40,100.00, 1.08, 0.03	15:A100,60.50,100.00, 2.00,17.89	20:A100,58.30,100.00, 9.49,58.05	25:A100,58.10,100.00,17.13, 2.86	30:A100,61.40,100.00, 5.43, 4.50	35:A100,61.20,100.00,12.38, 6.98	40:A100,58.10,100.00, 1.05, 3.02	45:A100,60.80,100.00, 4.81, 3.93	
0:A100,60.90,100.00,19.72,14.70	5:A100,64.30,100.00,14.19,11.71	10:A100,59.90,100.00, 1.08, 0.03	15:A100,61.00,100.00, 2.00,17.89	20:A100,58.80,100.00, 9.49,58.05	25:A100,58.60,100.00,17.13, 2.86	30:A100,61.90,100.00, 5.43, 4.50	35:A100,61.70,100.00,12.38, 6.98	40:A100,58.60,100.00, 1.05, 3.02	45:A100,61.30,100.00, 4.81, 3.93	
0:A100,61.40,100.00,19.72,14.70	5:A100,64.80,100.00,14.19,11.71	10:A100,60.40,100.00, 1.08, 0.03	15:A100,61.50,100.00, 2.00,17.89	20:A100,59.30,100.00, 9.49,58.05	25:A100,59.10,100.00,17.13, 2.86	30:A100,62.40,100.00, 5.43, 4.50	35:A100,62.20,100.00,12.38, 6.98	40:A100,59.10,100.00, 1.05, 3.02	45:A100,61.80,100.00, 4.81, 3.93	
0:A100,61.90,100.00,19.72,14.70	5:A100,65.30,100.00,14.19,11.71	10:A100,60.90,100.00, 1.08, 0.03	15:A100,62.00,100.00, 2.00,17.89	20:A100,59.80,100.00, 9.49,58.05	25:A100,59.60,100.00,17.13, 2.86	30:A100,62.90,100.00, 5.43, 4.50	35:A100,62.70,100.00,12.38, 6.98	40:A100,59.60,100.00, 1.05, 3.02	45:A100,62.30,100.00, 4.81, 3.93	
0:A100,62.40,100.00,19.72,14.70	5:A100,65.80,100.00,14.19,11.71	10:A100,61.40,100.00, 1.08, 0.03	15:A100,62.50,100.00, 2.00,17.89	20:A100,60.30,100.00, 9.49,58.05	25:A100,60.10,100.00,17.13, 2.86	30:A100,63.40,100.00, 5.43, 4.50	35:A100,63.20,100.00,12.38, 6.98	40:A100,60.10,100.00, 1.05, 3.02	45:A100,62.80,100.00, 4.81, 3.93	
0:A100,62.90,100.00,19.72,14.70	5:A100,66.30,100.00,14.19,11.71	10:A100,61.90,100.00, 1.08, 0.03	15:A100,63.00,100.00, 2.00,17.89	20:C180,61.20,100.00, 9.49,119.89	25:A100,60.60,100.00,17.13, 2.86	30:A100,63.90,100.00, 5.43, 4.50	35:A100,63.70,100.00,12.38, 6.98	40:A100,60.60,100.00, 1.05, 3.02	45:A100,63.30,100.00, 4.81, 3.93	
0:A100,63.40,100.00,19.72,14.70	5:A100,66.80,100.00,14.19,11.71	10:A100,62.40,100.00, 1.08, 0.03	15:A100,63.50,100.00, 2.00,17.89	20:C000,61.20,100.00, 9.49,59.10	25:A100,61.10,100.00,17.13, 2.86	30:A100,64.40,100.00, 5.43, 4.50	35:A100,64.20,100.00,12.38, 6.98	40:A100,61.10,100.00, 1.05, 3.02	45:A100,63.80,100.00, 4.81, 3.93	
0:A100,63.90,100.00,19.72,14.70	5:A100,67.30,100.00,14.19,11.71	10:A100,62.90,100.00, 1.08, 0.03	15:A100,64.00,100.00, 2.00,17.89	20:A100,61.70,100.00, 9.49,59.10	25:A100,61.60,100.00,17.13, 2.86	30:A100,64.90,100.00, 5.43, 4.50	35:A100,64.70,100.00,12.38, 6.98	40:A100,61.60,100.00, 1.05, 3.02	45:A100,64.30,100.00, 4.81, 3.93	
0:A100,64.40,100.00,19.72,14.70	5:A100,67.80,100.00,14.19,11.71	10:A100,63.40,100.00, 1.08, 0.03	15:A100,64.50,100.00, 2.00,17.89	20:A100,62.20,100.00, 9.49,59.10	25:A100,62.10,100.00,17.13, 2.86	30:A100,65.40,100.00, 5.43, 4.50	35:A100,65.20,100.00,12.38, 6.98	40:A100,62.10,100.00, 1.05, 3.02	45:A100,64.80,100.00, 4.81, 3.93	
0:A100,64.90,100.00,19.72,14.70	5:A100,68.30,100.00,14.19,11.71	10:A100,63.90,100.00, 1.08, 0.03	15:A100,65.00,100.00, 2.00,17.89	20:A100,62.70,100.00, 9.49,59.10	25:A100,62.60,100.00,17.13, 2.86	30:A100,65.90,100.00, 5.43, 4.50	35:A100,65.70,100.00,12.38, 6.98	40:A100,62.60,100.00, 1.05, 3.02	45:A100,65.30,100.00, 4.81, 3.93	
0:A100,65.40,100.00,19.72,14.70	5:A100,68.80,100.00,14.19,11.71	10:A100,64.40,100.00, 1.08, 0.03	15:A100,65.50,100.00, 2.00,17.89	20:A100,63.20,100.00, 9.49,59.10	25:A100,63.10,100.00,17.13, 2.86	30:A100,66.40,100.00, 5.43, 4.50	35:A100,66.20,100.00,12.38, 6.98	40:A100,63.10,100.00, 1.05, 3.02	45:A100,65.80,100.00, 4.81, 3.93	
0:A100,65.90,100.00,19.72,14.70	5:A100,69.30,100.00,14.19,11.71	10:A100,64.90,100.00, 1.08, 0.03	15:A100,66.00,100.00, 2.00,17.89	20:A100,63.70,100.00, 9.49,59.10	25:A100,63.60,100.00,17.13, 2.86	30:A100,66.90,100.00, 5.43, 4.50	35:A100,66.70,100.00,12.38, 6.98	40:A100,63.60,100.00, 1.05, 3.02	45:A100,66.30,100.00, 4.81, 3.93	
0:A100,66.40,100.00,19.72,14.70	5:A100,69.80,100.00,14.19,11.71	10:A100,65.40,100.00, 1.08, 0.03	15:A100,66.50,100.00, 2.00,17.89	20:A100,64.20,100.00, 9.49,59.10	25:A100,64.10,100.00,17.13, 2.86	30:A100,67.40,100.00, 5.43, 4.50	35:A100,67.20,100.00,12.38, 6.98	40:A100,64.10,100.00, 1.05, 3.02	45:A100,66.80,100.00, 4.81, 3.93	
0:A100,66.90,100.00,19.72,14.70	5:A100,70.30,100.00,14.19,11.71	10:A100,65.90,100.00, 1.08, 0.03	15:A100,67.00,100.00, 2.00,17.89	20:A100,64.70,100.00, 9.49,59.10	25:A100,64.60,100.00,17.13, 2.86	30:A100,67.90,100.00, 5.43, 4.50	35:A100,67.70,100.00,12.38, 6.98	40:A100,64.60,100.00, 1.05, 3.02	45:A100,67.30,100.00, 4.81, 3.93	
0:A100,67.40,100.00,19.72,14.70	5:A100,70.80,100.00,14.19,11.71	10:A100,66.40,100.00, 1.08, 0.03	15:A100,67.50,100.00, 2.00,17.89	20:A100,65.20,100.00, 9.49,59.10	25:A100,65.10,100.00,17.13, 2.86	30:A100,68.40,100.00, 5.43, 4.50	35:A100,68.20,100.00,12.38, 6.98	40:A100,65.10,100.00, 1.05, 3.02	45:B000,67.30,100.00, 0.11, 3.93	
0:A100,67.90,100.00,19.72,14.70	5:A100,71.30,100.00,14.19,11.71	10:A100,66.90,100.00, 1.08, 0.03	15:A100,68.00,100.00, 2.00,17.89	20:A100,65.70,100.00, 9.49,59.10	25:A100,65.60,100.00,17.13, 2.86	30:A100,68.90,100.00, 5.43, 4.50	35:A100,68.70,100.00,12.38, 6.98	40:A100,65.60,100.00, 1.05, 3.02	45:A100,67.80,100.00, 0.11, 3.93	
0:A100,68.40,100.00,19.72,14.70	5:A100,71.80,100.00,14.19,11.71	10:A100,67.40,100.00, 1.08, 0.03	15:A100,68.50,100.00, 2.00,17.89	20:C180,66.60,100.00, 9.49,120.40	25:A100,66.10,100.00,17.13, 2.86	30:A100,69.40,100.00, 5.43, 4.50	35:A100,69.20,100.00,12.38, 6.98	40:A100,66.10,100.00, 1.05, 3.02	45:A100,68.30,100.00, 0.11, 3.93	
0:A100,68.90,100.00,19.72,14.70	5:A100,72.30,100.00,14.19,11.71	10:A100,67.90,100.00, 1.08, 0.03	15:A100,69.00,100.00, 2.00,17.89	20:C000,66.60,100.00, 9.49,59.35	25:A100,66.60,100.00,17.13, 2.86	30:A100,69.90,100.00, 5.43, 4.50	35:A100,69.70,100.00,12.38, 6.98	40:A100,66.60,100.00, 1.05, 3.02	45:A100,68.80,100.00, 0.11, 3.93	
0:A100,69.40,100.00,19.72,14.70	5:A100,72.80,100.00,14.19,11.71	10:A100,68.40,100.00, 1.08, 0.03	15:A100,69.50,100.00, 2.00,17.89	20:A100,67.10,100.00, 9.49,59.35	25:A100,67.10,100.00,17.13, 2.86	30:C000,69.90,100.00, 5.43, 0.11	35:A100,70.20,100.00,12.38, 6.98	40:A100,67.10,100.00, 1.05, 3.02	45:A100,69.30,100.00, 0.11, 3.93	
0:A100,69.90,100.00,19.72,14.70	5:A100,73.30,100.00,14.19,11.71	10:A100,68.90,100.00, 1.08, 0.03	15:A100,70.00,100.00, 2.00,17.89	20:A100,67.60,100.00, 9.49,59.35	25:A100,67.60,100.00,17.13, 2.86	30:A100,70.40,100.00, 5.43, 0.11	35:A100,70.70,100.00,12.38, 6.98	40:A100,67.60,100.00, 1.05, 3.02	45:A100,69.80,100.00, 0.11, 3.93	
0:A100,70.40,100.00,19.72,14.70	5:A100,73.80,100.00,14.19,11.71	10:A100,69.40,100.00, 1.08, 0.03	15:A100,70.50,100.00, 2.00,17.89	20:A100,68.10,100.00, 9.49,59.35	25:A100,68.10,100.00,17.13, 2.86	30:C180,71.30,100.00, 5.43,175.45	35:A100,71.20,100.00,12.38, 6.98	40:A100,68.10,100.00, 1.05, 3.02	45:A100,70.30,100.00, 0.11, 3.93	
0:C000,70.40,100.00,19.72, 1.32	5:A100,74.30,100.00,14.19,11.71	10:A100,69.90,100.00, 1.08, 0.03	15:A100,71.00,100.00, 2.00,17.89	20:A100,68.60,100.00, 9.49,59.35	25:A100,68.60,100.00,17.13, 2.86	30:C180,72.20,100.00, 5.43,179.88	35:A100,71.70,100.00,12.38, 6.98	40:A100,68.60,100.00, 1.05, 3.02	45:A100,70.80,100.00, 0.11, 3.93	
0:A100,70.90,100.00,19.72, 1.32	5:C180,75.20,100.00,14.19,137.00	10:A100,70.40,100.00, 1.08, 0.03	15:A100,71.50,100.00, 2.00,17.89	20:A100,69.10,100.00, 9.49,59.35	25:A100,69.10,100.00,17.13, 2.86	30:C180,73.10,100.00, 5.43,180.00	35:A100,72.20,100.00,12.38, 6.98	40:A100,69.10,100.00, 1.05, 3.02	45:A100,71.30,100.00, 0.11, 3.93	
0:A100,71.40,100.00,19.72, 1.32	5:C000,75.20,100.00,14.19,35.01	10:A100,70.90,100.00, 1.08, 0.03	15:A100,72.00,100.00, 2.00,17.89	20:A100,69.60,100.00, 9.49,59.35	25:A100,69.60,100.00,17.13, 2.86	30:C180,74.00,100.00, 5.43,180.00	35:A100,72.70,100.00,12.38, 6.98	40:A100,69.60,100.00, 1.05, 3.02	45:A100,71.80,100.00, 0.11, 3.93	
0:A100,71.90,100.00,19.72, 1.32	5:A100,75.70,100.00,14.19,35.01	10:A100,71.40,100.00, 1.08, 0.03	15:A100,72.50,100.00, 2.00,17.89	20:A100,70.10,100.00, 9.49,59.35	25:A100,70.10,100.00,17.13, 2.86	30:C180,74.90,100.00, 5.43,180.00	35:A100,73.20,100.00,12.38, 6.98	40:A100,70.10,100.00, 1.05, 3.02	45:A100,72.30,100.00, 0.11, 3.93	
0:A100,72.40,100.00,19.72, 1.32	5:A100,76.20,100.00,14.19,35.01	10:A100,71.90,100.00, 1.08, 0.03	15:A100,73.00,100.00, 2.00,17.89	20:A100,70.60,100.00, 9.49,59.35	25:A100,70.60,100.00,17.13, 2.86	30:C180,75.80,100.00, 5.43,180.00	35:A100,73.70,100.00,12.38, 6.98	40:A100,70.60,100.00, 1.05, 3.02	45:A100,72.80,100.00, 0.11, 3.93	
0:A100,72.90,100.00,19.72, 1.32	5:A100,76.70,100.00,14.19,35.01	10:A100,72.40,100.00, 1.08, 0.03	15:A100,73.50,100.00, 2.00,17.89	20:A100,71.10,100.00, 9.49,59.35	25:A100,71.10,100.00,17.13, 2.86	30:C000,75.80,100.00, 5.43, 4.55	35:A100,74.20,100.00,12.38, 6.98	40:A100,71.10,100.00, 1.05, 3.02	45:A100,73.30,100.00, 0.11, 3.93	
0:A100,73.40,100.00,19.72, 1.32	5:A100,77.20,100.00,14.19,35.01	10:A100,72.90,100.00, 1.08, 0.03	15:A100,74.00,100.00, 2.00,17.89	20:A100,71.60,100.00, 9.49,59.35	25:A100,71.60,100.00,17.13, 2.86	30:A100,76.30,100.00, 5.43, 4.55	35:A100,74.70,100.00,12.38, 6.98	40:A100,71.60,100.00, 1.05, 3.02	45:A100,73.80,100.00, 0.11, 3.93	
0:B220,74.50,100.00,202.03, 1.32	5:A100,77.70,100.00,14.19,35.01	10:A100,73.40,100.00, 1.08, 0.03	15:A100,74.50,100.00, 2.00,17.89	20:A100,72.10,100.00, 9.49,59.35	25:A100,72.10,100.00,17.13, 2.86	30:A100,76.80,100.00, 5.43, 4.55	35:A100,75.20,100.00,12.38, 6.98	40:A100,72.10,100.00, 1.05, 3.02	45:A100,74.30,100.00, 0.11, 3.93	
0:B000,74.50,100.00,18.12, 1.32	5:A100,78.20,100.00,14.19,35.01	10:A100,73.90,100.00, 1.08, 0.03	15:A100,75.00,100.00, 2.00,17.89	20:A100,72.60,100.00, 9.49,59.35	25:A100,72.60,100.00,17.13, 2.86	30:A100,77.30,100.00, 5.43, 4.55	35:A100,75.70,100.00,12.38, 6.98	40:A100,72.60,100.00, 1.05, 3.02	45:A100,74.80,100.00, 0.11, 3.93	
0:A100,75.00,100.00,18.12, 1.32	5:A100,78.70,100.00,14.19,35.01	10:A100,74.40,100.00, 1.08, 0.03	15:A100,75.50,100.00, 2.00,17.89	20:A100,73.10,100.00, 9.49,59.35	25:A100,73.10,100.00,17.13, 2.86	30:A100,77.80,100.00, 5.43, 4.55	35:A100,76.20,100.00,12.38, 6.98	40:A100,73.10,100.00, 1.05, 3.02	45:A100,75.30,100.00, 0.11, 3.93	
0:A100,75.50,100.00,18.12, 1.32	5:A100,79.20,100.00,14.19,35.01	10:A100,74.90,100.00, 1.08, 0.03	15:A100,76.00,100.00, 2.00,17.89	20:C180,74.00,100.00, 9.49,120.53	25:A100,73.60,100.00,17.13, 2.86	30:A100,78.30,100.00, 5.43, 4.55	35:A100,76.70,100.00,12.38, 6.98	40:A100,73.60,100.00, 1.05, 3.02	45:B220,76.40,100.00,215.19, 3.93	
0:A100,76.00,100.00,18.12, 1.32	5:A100,79.70,100.00,14.19,35.01	10:A100,75.40,100.00, 1.08, 0.03	15:A100,76.50,100.00, 2.00,17.89	20:C000,74.00,100.00, 9.49,59.41	25:A100,74.10,100.00,17.13, 2.86	30:A100,78.80,100.00, 5.43, 4.55	35:A100,77.20,100.00,12.38, 6.98	40:A100,74.10,100.00, 1.05, 3.02	45:B220,77.50,100.00,219.89, 3.93	
0:A100,76.50,100.00,18.12, 1.32	5:A100,80.20,100.00,14.19,35.01	10:A100,75.90,100.00, 1.08, 0.03	15:A100,77.00,100.00, 2.00,17.89	20:A100,74.50,100.00, 9.49,59.41	25:A100,74.60,100.00,17.13, 2.86	30:A100,79.30,100.00, 5.43, 4.55	35:A100,77.70,100.00,12.38, 6.98	40:A100,74.60,100.00, 1.05, 3.02	45:B220,78.60,100.00,220.00, 3.93	
0:A100,77.00,100.00,18.12, 1.32	5:A100,80.70,100.00,14.19,35.01	10:A100,76.40,100.00, 1.08, 0.03	15:A100,77.50,100.00, 2.00,17.89	20:A100,75.00,100.00, 9.49,59.41	25:A100,75.10,100.00,17.13, 2.86	30:A100,79.80,100.00, 5.43, 4.55	35:A100,78.20,100.00,12.38, 6.98	40:A100,75.10,100.00, 1.05, 3.02	45:B000,78.60,100.00, 4.81, 3.93	
0:A100,77.50,100.00,18.12, 1.32	5:A100,81.20,100.00,14.19,35.01	10:A100,76.90,100.00, 1.08, 0.03	15:A100,78.00,100.00, 2.00,17.89	20:A100,75.50,100.00, 9.49,59.41	25:A100,75.60,100.00,17.13, 2.86	30:A100,80.30,100.00, 5.43, 4.55	35:A100,78.70,100.00,12.38, 6.98	40:A100,75.60,100.00, 1.05, 3.02	45:A100,79.10,100.00, 4.81, 3.93	
0:A100,78.00,100.00,18.12, 1.32	5:A100,81.70,100.00,14.19,35.01	10:A100,77.40,100.00, 1.08, 0.03	15:A100,78.50,100.00, 2.00,17.89	20:C000,75.50,100.00, 9.49,29.29	25:A100,76.10,100.00,17.13, 2.86	30:A100,80.80,100.00, 5.43, 4.55	35:A100,79.20,100.00,12.38, 6.98	40:A100,76.10,100.00, 1.05, 3.02	45:A100,79.60,100.00, 4.81, 3.93	
0:A100,78.50,100.00,18.12, 1.32	5:A100,82.20,100.00,14.19,35.01	10:A100,77.90,100.00, 1.08, 0.03	15:A100,79.00,100.00, 2.00,17.89	20:A100,76.00,100.00, 9.49,29.29	25:A100,76.60,100.00,17.13, 2.86	30:A100,81.30,100.00, 5.43, 4.55	35:A100,79.70,100.00,12.38, 6.98	40:A100,76.60,100.00, 1.05, 3.02	45:A100,80.10,100.00, 4.81, 3.93	
0:B000,78.50,100.00, 1.63, 1.32	5:A100,82.70,100.00,14.19,35.01	10:A100,78.40,100.00, 1.08, 0.03	15:A100,79.50,100.00, 2.00,17.89	20:A100,76.50,100.00, 9.49,29.29	25:A100,77.10,100.00,17.13, 2.86	30:A100,81.80,100.00, 5.43, 4.55	35:A100,80.20,100.00,12.38, 6.98	40:A100,77.10,100.00, 1.05, 3.02	45:A100,80.60,100.00, 4.81, 3.93	
0:A100,79.00,100.00, 1.63, 1.32	5:A100,83.20,100.00,14.19,35.01	10:A100,78.90,100.00, 1.08, 0.03	15:A100,80.00,100.00, 2.00,17.89	20:A100,77.00,100.00, 9.49,29.29	25:A100,77.60,100.00,17.13, 2.86	30:A100,82.30,100.00, 5.43, 4.55	35:A100,80.70,100.00,12.38, 6.98	40:A100,77.60,100.00, 1.05, 3.02	45:A100,81.10,100.00, 4.81, 3.93	
0:A100,79.50,100.00, 1.63, 1.32	5:A100,83.70,100.00,14.19,35.01	10:A100,79.40,100.00, 1.08, 0.03	15:A100,80.50,100.00, 2.00,17.89	20:A100,77.50,100.00, 9.49,29.29	25:A100,78.10,100.00,17.13, 2.86	30:A100,82.80,100.00, 5.43, 4.55	35:A100,81.20,100.00,12.38, 6.98	40:A100,78.10,100.00, 1.05, 3.02	45:A100,81.60,100.00, 4.81, 3.93	
0:A100,80.00,100.00, 1.63, 1.32	5:A100,84.20,100.00,14.19,35.01	10:A100,79.90,100.00, 1.08, 0.03	15:A100,81.00,100.00, 2.00,17.89	20:A100,78.00,100.00, 9.49,29.29	25:A100,78.60,100.00,17.13, 2.86	30:A100,83.30,100.00, 5.43, 4.55	35:A100,81.70,100.00,12.38, 6.98	40:A100,78.60,100.00, 1.05, 3.02	45:A100,82.10,100.00, 4.81, 3.93	
0:A100,80.50,100.00, 1.63, 1.32	5:A100,84.70,100.00,14.19,35.01	10:A100,80.40,100.00, 1.08, 0.03	15:A100,81.50,100.00, 2.00,17.89	20:A100,78.50,100.00, 9.49,29.29	25:A100,79.10,100.00,17.13, 2.86	30:A100,83.80,100.00, 5.43, 4.55	35:A100,82.20,100.00,12.38, 6.98	40:A100,79.10,100.00, 1.05, 3.02	45:A100,82.60,100.00, 4.81, 3.93	
0:A100,81.00,100.00, 1.63, 1.32	5:A100,85.20,100.00,14.19,35.01	10:A100,80.90,100.00, 1.08, 0.03	15:A100,82.00,100.00, 2.00,17.89	20:A100,79.00,100.00, 9.49,29.29	25:A100,79.60,100.00,17.13, 2.86	30:A100,84.30,100.00, 5.43, 4.55	35:A100,82.70,100.00,12.38, 6.98	40:A100,79.60,100.00, 1.05, 3.02	45:A100,83.10,100.00, 4.81, 3.93	
0:A100,81.50,100.00, 1.63, 1.32	5:A100,85.70,100.00,14.19,35.01	10:A100,81.40,100.00, 1.08, 0.03	15:A100,82.50,100.00, 2.00,17.89	20:A100,79.50,100.00, 9.49,29.29	25:C000,79.60,100.00,17.13, 0.87	30:A100,84.80,100.00, 5.43, 4.55	35:A100,83.20,100.00,12.38, 6.98	40:A100,80.10,100.00, 1.05, 3.02	45:A100,83.60,100.00, 4.81, 3.93	
0:A100,82.00,100.00, 1.63, 1.32	5:A100,86.20,100.00,14.19,35.01	10:A100,81.90,100.00, 1.08, 0.03	15:A100,83.00,100.00, 2.00,17.89	20:A100,80.00,100.00, 9.49,29.29	25:A100,80.10,100.00,17.13, 0.87	30:A100,85.30,100.00, 5.43, 4.55	35:A100,83.70,100.00,12.38, 6.98	40:A100,80.60,100.00, 1.05, 3.02	45:A100,84.10,100.00, 4.81, 3.93	
0:A100,82.50,100.00, 1.63, 1.32	5:A100,86.70,100.00,14.19,35.01	10:A100,82.40,100.00, 1.08, 0.03	15:A100,83.50,100.00, 2.00,17.89	20:B220,81.10,100.00,116.23,29.29	25:A100,80.60,100.00,17.13, 0.87	30:A100,85.80,100.00, 5.43, 4.55	35:A100,84.20,100.00,12.38, 6.98	40:A100,81.10,100.00, 1.05, 3.02	45:A100,84.60,100.00, 4.81, 3.93	
0:A100,83.00,100.00, 1.63, 1.32	5:A100,87.20,100.00,14.19,35.01	10:A100,82.90,100.00, 1.08, 0.03	15:A100,84.00,100.00, 2.00,17.89	20:A100,81.60,100.00,116.23,29.29	25:A100,81.10,100.00,17.13, 0.87	30:A100,86.30,100.00, 5.43, 4.55	35:A100,84.70,100.00,12.38, 6.98	40:A100,81.60,100.00, 1.05, 3.02	45:A100,85.10,100.00, 4.81, 3.93	
0:A100,83.50,100.00, 1.63, 1.32	5:A100,87.70,100.00,14.19,35.01	10:A100,83.40,100.00, 1.08, 0.03	15:A100,84.50,100.00, 2.00,17.89	20:B220,82.70,100.00,168.84,29.29	25:A100,81.60,100.00,17.13, 0.87	30:A100,86.80,100.00, 5.43, 4.55	35:A100,85.20,100.00,12.38, 6.98	40:A100,82.10,100.00, 1.05, 3.02	45:A100,85.60,100.00, 4.81, 3.93	
0:A100,84.00,100.00, 1.63, 1.32	5:A100,88.20,100.00,14.19,35.01	10:A100,83.90,100.00, 1.08, 0.03	15:A100,85.00,100.00, 2.00,17.89	20:B220,83.80,100.00,194.78,29.29	25:A100,82.10,100.00,17.13, 0.87	30:A100,87.30,100.00, 5.43, 4.55	35:A100,85.70,100.00,12.38, 6.98	40:A100,82.60,100.00, 1.05, 3.02	45:A100,86.10,100.00, 4.81, 3.93	
0:A100,84.50,100.00, 1.63, 1.32	5:A100,88.70,100.00,14.19,35.01	10:A100,84.40,100.00, 1.08, 0.03	15:A100,85.50,100.00, 2.00,17.89	20:B220,84.90,100.00,207.57,29.29	25:A100,82.60,100.00,17.13, 0.87	30:A100,87.80,100.00, 5.43, 4.55	35:A100,86.20,100.00,12.38, 6.98	40:A100,83.10,100.00, 1.05, 3.02	45:A100,86.60,100.00, 4.81, 3.93	
0:A100,85.00,100.00, 1.63, 1.32	5:A100,89.20,100.00,14.19,35.01	10:A100,84.90,100.00, 1.08, 0.03	15:C180,86.40,100.00, 2.00,163.74	20:B000,84.90,100.00,102.32,29.29	25:A100,83.10,100.00,17.13, 0.87	30:A100,88.30,100.00, 5.43, 4.55	35:A100,86.70,100.00,12.38, 6.98	40:A100,83.60,100.00, 1.05, 3.02	45:A100,87.10,100.00, 4.81, 3.93	
0:A100,85.50,100.00, 1.63, 1.32	5:A100,89.70,100.00,14.19,35.01	10:A100,85.40,100.00, 1.08, 0.03	15:C180,87.30,100.00, 2.00,178.37	20:A100,85.40,100.00,102.32,29.29	25:A100,83.60,100.00,17.13, 0.87	30:A100,88.80,100.00, 5.43, 4.55	35:A100,87.20,100.00,12.38, 6.98	40:A100,84.10,100.00, 1.05, 3.02	45:A100,87.60,100.00, 4.81, 3.93	
0:A100,86.00,100.00, 1.63, 1.32	5:A100,90.20,100.00,14.19,35.01	10:A100,85.90,100.00, 1.08, 0.03	15:C000,87.30,100.00, 2.00,17.89	20:A100,85.90,100.00,102.32,29.29	25:A100,84.10,100.00,
