each row consists of groups of data for each agent, in form:	agentNum:choice,fitness,[expA,expB,expC]where choice has letter of choice and number for reward received
each column consists of every trial for the same agent.
this entire file is from Generation 50

0:B220, 1.10,100.00,177.10,100.00	5:B000, 0.00,100.00,39.65,100.00	10:C180, 0.90,100.00,100.00,144.61	15:B000, 0.00,100.00, 8.60,100.00	20:C000, 0.00,100.00,100.00,50.37	25:C000, 0.00,100.00,100.00,25.36	30:A100, 0.50,100.00,100.00,100.00	35:C180, 0.90,100.00,100.00,153.23	40:A100, 0.50,100.00,100.00,100.00	45:C180, 0.90,100.00,100.00,155.03	
0:A100,58.40,100.00, 2.68,43.52	5:A100,58.10,100.00, 2.47, 8.35	10:A100,56.30,100.00, 8.66,46.55	15:A100,59.70,100.00,17.44, 0.74	20:A100,57.10,100.00,16.62,12.78	25:A100,60.90,100.00,11.47, 6.43	30:A100,57.10,100.00,12.62, 0.35	35:A100,58.90,100.00,18.93,18.54	40:A100,63.40,100.00,16.30,112.74	45:A100,56.80,100.00, 9.74,16.77	
0:A100,58.90,100.00, 2.68,43.52	5:A100,58.60,100.00, 2.47, 8.35	10:C000,56.30,100.00, 8.66,20.60	15:A100,60.20,100.00,17.44, 0.74	20:A100,57.60,100.00,16.62,12.78	25:A100,61.40,100.00,11.47, 6.43	30:A100,57.60,100.00,12.62, 0.35	35:A100,59.40,100.00,18.93,18.54	40:A100,63.90,100.00,16.30,112.74	45:A100,57.30,100.00, 9.74,16.77	
0:A100,59.40,100.00, 2.68,43.52	5:A100,59.10,100.00, 2.47, 8.35	10:A100,56.80,100.00, 8.66,20.60	15:A100,60.70,100.00,17.44, 0.74	20:A100,58.10,100.00,16.62,12.78	25:A100,61.90,100.00,11.47, 6.43	30:A100,58.10,100.00,12.62, 0.35	35:A100,59.90,100.00,18.93,18.54	40:C180,64.80,100.00,16.30,151.67	45:C000,57.30,100.00, 9.74, 5.23	
0:A100,59.90,100.00, 2.68,43.52	5:A100,59.60,100.00, 2.47, 8.35	10:A100,57.30,100.00, 8.66,20.60	15:A100,61.20,100.00,17.44, 0.74	20:A100,58.60,100.00,16.62,12.78	25:A100,62.40,100.00,11.47, 6.43	30:A100,58.60,100.00,12.62, 0.35	35:A100,60.40,100.00,18.93,18.54	40:C000,64.80,100.00,16.30,63.87	45:A100,57.80,100.00, 9.74, 5.23	
0:A100,60.40,100.00, 2.68,43.52	5:A100,60.10,100.00, 2.47, 8.35	10:A100,57.80,100.00, 8.66,20.60	15:A100,61.70,100.00,17.44, 0.74	20:A100,59.10,100.00,16.62,12.78	25:A100,62.90,100.00,11.47, 6.43	30:A100,59.10,100.00,12.62, 0.35	35:A100,60.90,100.00,18.93,18.54	40:A100,65.30,100.00,16.30,63.87	45:A100,58.30,100.00, 9.74, 5.23	
0:A100,60.90,100.00, 2.68,43.52	5:A100,60.60,100.00, 2.47, 8.35	10:A100,58.30,100.00, 8.66,20.60	15:A100,62.20,100.00,17.44, 0.74	20:A100,59.60,100.00,16.62,12.78	25:A100,63.40,100.00,11.47, 6.43	30:A100,59.60,100.00,12.62, 0.35	35:A100,61.40,100.00,18.93,18.54	40:A100,65.80,100.00,16.30,63.87	45:A100,58.80,100.00, 9.74, 5.23	
0:A100,61.40,100.00, 2.68,43.52	5:A100,61.10,100.00, 2.47, 8.35	10:A100,58.80,100.00, 8.66,20.60	15:A100,62.70,100.00,17.44, 0.74	20:A100,60.10,100.00,16.62,12.78	25:A100,63.90,100.00,11.47, 6.43	30:A100,60.10,100.00,12.62, 0.35	35:A100,61.90,100.00,18.93,18.54	40:C180,66.70,100.00,16.30,131.10	45:A100,59.30,100.00, 9.74, 5.23	
0:A100,61.90,100.00, 2.68,43.52	5:A100,61.60,100.00, 2.47, 8.35	10:A100,59.30,100.00, 8.66,20.60	15:A100,63.20,100.00,17.44, 0.74	20:A100,60.60,100.00,16.62,12.78	25:A100,64.40,100.00,11.47, 6.43	30:A100,60.60,100.00,12.62, 0.35	35:A100,62.40,100.00,18.93,18.54	40:C000,66.70,100.00,16.30,55.21	45:A100,59.80,100.00, 9.74, 5.23	
0:A100,62.40,100.00, 2.68,43.52	5:A100,62.10,100.00, 2.47, 8.35	10:A100,59.80,100.00, 8.66,20.60	15:A100,63.70,100.00,17.44, 0.74	20:A100,61.10,100.00,16.62,12.78	25:A100,64.90,100.00,11.47, 6.43	30:A100,61.10,100.00,12.62, 0.35	35:A100,62.90,100.00,18.93,18.54	40:A100,67.20,100.00,16.30,55.21	45:A100,60.30,100.00, 9.74, 5.23	
0:A100,62.90,100.00, 2.68,43.52	5:A100,62.60,100.00, 2.47, 8.35	10:A100,60.30,100.00, 8.66,20.60	15:A100,64.20,100.00,17.44, 0.74	20:A100,61.60,100.00,16.62,12.78	25:A100,65.40,100.00,11.47, 6.43	30:A100,61.60,100.00,12.62, 0.35	35:A100,63.40,100.00,18.93,18.54	40:C000,67.20,100.00,16.30,23.25	45:A100,60.80,100.00, 9.74, 5.23	
0:A100,63.40,100.00, 2.68,43.52	5:A100,63.10,100.00, 2.47, 8.35	10:A100,60.80,100.00, 8.66,20.60	15:A100,64.70,100.00,17.44, 0.74	20:A100,62.10,100.00,16.62,12.78	25:A100,65.90,100.00,11.47, 6.43	30:A100,62.10,100.00,12.62, 0.35	35:A100,63.90,100.00,18.93,18.54	40:B220,68.30,100.00,134.22,23.25	45:A100,61.30,100.00, 9.74, 5.23	
0:C180,64.30,100.00, 2.68,131.21	5:A100,63.60,100.00, 2.47, 8.35	10:A100,61.30,100.00, 8.66,20.60	15:A100,65.20,100.00,17.44, 0.74	20:A100,62.60,100.00,16.62,12.78	25:A100,66.40,100.00,11.47, 6.43	30:A100,62.60,100.00,12.62, 0.35	35:A100,64.40,100.00,18.93,18.54	40:B000,68.30,100.00,56.52,23.25	45:A100,61.80,100.00, 9.74, 5.23	
0:C000,64.30,100.00, 2.68,46.91	5:A100,64.10,100.00, 2.47, 8.35	10:A100,61.80,100.00, 8.66,20.60	15:A100,65.70,100.00,17.44, 0.74	20:A100,63.10,100.00,16.62,12.78	25:A100,66.90,100.00,11.47, 6.43	30:A100,63.10,100.00,12.62, 0.35	35:A100,64.90,100.00,18.93,18.54	40:A100,68.80,100.00,56.52,23.25	45:A100,62.30,100.00, 9.74, 5.23	
0:A100,64.80,100.00, 2.68,46.91	5:C180,65.00,100.00, 2.47,111.95	10:A100,62.30,100.00, 8.66,20.60	15:A100,66.20,100.00,17.44, 0.74	20:A100,63.60,100.00,16.62,12.78	25:A100,67.40,100.00,11.47, 6.43	30:A100,63.60,100.00,12.62, 0.35	35:A100,65.40,100.00,18.93,18.54	40:A100,69.30,100.00,56.52,23.25	45:A100,62.80,100.00, 9.74, 5.23	
0:A100,65.30,100.00, 2.68,46.91	5:C180,65.90,100.00, 2.47,153.02	10:A100,62.80,100.00, 8.66,20.60	15:A100,66.70,100.00,17.44, 0.74	20:A100,64.10,100.00,16.62,12.78	25:A100,67.90,100.00,11.47, 6.43	30:A100,64.10,100.00,12.62, 0.35	35:A100,65.90,100.00,18.93,18.54	40:A100,69.80,100.00,56.52,23.25	45:A100,63.30,100.00, 9.74, 5.23	
0:A100,65.80,100.00, 2.68,46.91	5:C000,65.90,100.00, 2.47,60.67	10:A100,63.30,100.00, 8.66,20.60	15:A100,67.20,100.00,17.44, 0.74	20:A100,64.60,100.00,16.62,12.78	25:A100,68.40,100.00,11.47, 6.43	30:A100,64.60,100.00,12.62, 0.35	35:A100,66.40,100.00,18.93,18.54	40:A100,70.30,100.00,56.52,23.25	45:A100,63.80,100.00, 9.74, 5.23	
0:A100,66.30,100.00, 2.68,46.91	5:A100,66.40,100.00, 2.47,60.67	10:A100,63.80,100.00, 8.66,20.60	15:A100,67.70,100.00,17.44, 0.74	20:A100,65.10,100.00,16.62,12.78	25:A100,68.90,100.00,11.47, 6.43	30:A100,65.10,100.00,12.62, 0.35	35:A100,66.90,100.00,18.93,18.54	40:A100,70.80,100.00,56.52,23.25	45:A100,64.30,100.00, 9.74, 5.23	
0:A100,66.80,100.00, 2.68,46.91	5:A100,66.90,100.00, 2.47,60.67	10:A100,64.30,100.00, 8.66,20.60	15:A100,68.20,100.00,17.44, 0.74	20:A100,65.60,100.00,16.62,12.78	25:A100,69.40,100.00,11.47, 6.43	30:A100,65.60,100.00,12.62, 0.35	35:A100,67.40,100.00,18.93,18.54	40:A100,71.30,100.00,56.52,23.25	45:A100,64.80,100.00, 9.74, 5.23	
0:A100,67.30,100.00, 2.68,46.91	5:C180,67.80,100.00, 2.47,132.69	10:A100,64.80,100.00, 8.66,20.60	15:A100,68.70,100.00,17.44, 0.74	20:A100,66.10,100.00,16.62,12.78	25:A100,69.90,100.00,11.47, 6.43	30:A100,66.10,100.00,12.62, 0.35	35:A100,67.90,100.00,18.93,18.54	40:A100,71.80,100.00,56.52,23.25	45:C180,65.70,100.00, 9.74,125.46	
0:A100,67.80,100.00, 2.68,46.91	5:C000,67.80,100.00, 2.47,52.61	10:A100,65.30,100.00, 8.66,20.60	15:A100,69.20,100.00,17.44, 0.74	20:A100,66.60,100.00,16.62,12.78	25:A100,70.40,100.00,11.47, 6.43	30:A100,66.60,100.00,12.62, 0.35	35:A100,68.40,100.00,18.93,18.54	40:A100,72.30,100.00,56.52,23.25	45:C000,65.70,100.00, 9.74,39.15	
0:A100,68.30,100.00, 2.68,46.91	5:A100,68.30,100.00, 2.47,52.61	10:A100,65.80,100.00, 8.66,20.60	15:A100,69.70,100.00,17.44, 0.74	20:A100,67.10,100.00,16.62,12.78	25:A100,70.90,100.00,11.47, 6.43	30:A100,67.10,100.00,12.62, 0.35	35:A100,68.90,100.00,18.93,18.54	40:A100,72.80,100.00,56.52,23.25	45:A100,66.20,100.00, 9.74,39.15	
0:A100,68.80,100.00, 2.68,46.91	5:A100,68.80,100.00, 2.47,52.61	10:A100,66.30,100.00, 8.66,20.60	15:A100,70.20,100.00,17.44, 0.74	20:A100,67.60,100.00,16.62,12.78	25:B220,72.00,100.00,167.11, 6.43	30:A100,67.60,100.00,12.62, 0.35	35:A100,69.40,100.00,18.93,18.54	40:A100,73.30,100.00,56.52,23.25	45:A100,66.70,100.00, 9.74,39.15	
0:A100,69.30,100.00, 2.68,46.91	5:A100,69.30,100.00, 2.47,52.61	10:A100,66.80,100.00, 8.66,20.60	15:A100,70.70,100.00,17.44, 0.74	20:A100,68.10,100.00,16.62,12.78	25:B000,72.00,100.00,42.38, 6.43	30:A100,68.10,100.00,12.62, 0.35	35:A100,69.90,100.00,18.93,18.54	40:A100,73.80,100.00,56.52,23.25	45:A100,67.20,100.00, 9.74,39.15	
0:A100,69.80,100.00, 2.68,46.91	5:C180,70.20,100.00, 2.47,129.49	10:A100,67.30,100.00, 8.66,20.60	15:A100,71.20,100.00,17.44, 0.74	20:A100,68.60,100.00,16.62,12.78	25:A100,72.50,100.00,42.38, 6.43	30:A100,68.60,100.00,12.62, 0.35	35:A100,70.40,100.00,18.93,18.54	40:A100,74.30,100.00,56.52,23.25	45:A100,67.70,100.00, 9.74,39.15	
0:C180,70.70,100.00, 2.68,132.42	5:C000,70.20,100.00, 2.47,51.34	10:A100,67.80,100.00, 8.66,20.60	15:A100,71.70,100.00,17.44, 0.74	20:A100,69.10,100.00,16.62,12.78	25:A100,73.00,100.00,42.38, 6.43	30:A100,69.10,100.00,12.62, 0.35	35:A100,70.90,100.00,18.93,18.54	40:A100,74.80,100.00,56.52,23.25	45:A100,68.20,100.00, 9.74,39.15	
0:C000,70.70,100.00, 2.68,47.34	5:A100,70.70,100.00, 2.47,51.34	10:A100,68.30,100.00, 8.66,20.60	15:A100,72.20,100.00,17.44, 0.74	20:A100,69.60,100.00,16.62,12.78	25:B000,73.00,100.00,10.75, 6.43	30:A100,69.60,100.00,12.62, 0.35	35:A100,71.40,100.00,18.93,18.54	40:A100,75.30,100.00,56.52,23.25	45:A100,68.70,100.00, 9.74,39.15	
0:A100,71.20,100.00, 2.68,47.34	5:A100,71.20,100.00, 2.47,51.34	10:A100,68.80,100.00, 8.66,20.60	15:A100,72.70,100.00,17.44, 0.74	20:A100,70.10,100.00,16.62,12.78	25:A100,73.50,100.00,10.75, 6.43	30:A100,70.10,100.00,12.62, 0.35	35:B000,71.40,100.00, 6.33,18.54	40:B220,76.40,100.00,151.16,23.25	45:A100,69.20,100.00, 9.74,39.15	
0:A100,71.70,100.00, 2.68,47.34	5:C180,72.10,100.00, 2.47,128.99	10:A100,69.30,100.00, 8.66,20.60	15:A100,73.20,100.00,17.44, 0.74	20:A100,70.60,100.00,16.62,12.78	25:A100,74.00,100.00,10.75, 6.43	30:A100,70.60,100.00,12.62, 0.35	35:A100,71.90,100.00, 6.33,18.54	40:B000,76.40,100.00,63.65,23.25	45:A100,69.70,100.00, 9.74,39.15	
0:A100,72.20,100.00, 2.68,47.34	5:C000,72.10,100.00, 2.47,51.14	10:A100,69.80,100.00, 8.66,20.60	15:A100,73.70,100.00,17.44, 0.74	20:A100,71.10,100.00,16.62,12.78	25:A100,74.50,100.00,10.75, 6.43	30:A100,71.10,100.00,12.62, 0.35	35:A100,72.40,100.00, 6.33,18.54	40:A100,76.90,100.00,63.65,23.25	45:A100,70.20,100.00, 9.74,39.15	
0:A100,72.70,100.00, 2.68,47.34	5:A100,72.60,100.00, 2.47,51.14	10:A100,70.30,100.00, 8.66,20.60	15:A100,74.20,100.00,17.44, 0.74	20:A100,71.60,100.00,16.62,12.78	25:A100,75.00,100.00,10.75, 6.43	30:A100,71.60,100.00,12.62, 0.35	35:A100,72.90,100.00, 6.33,18.54	40:A100,77.40,100.00,63.65,23.25	45:A100,70.70,100.00, 9.74,39.15	
0:A100,73.20,100.00, 2.68,47.34	5:A100,73.10,100.00, 2.47,51.14	10:A100,70.80,100.00, 8.66,20.60	15:A100,74.70,100.00,17.44, 0.74	20:A100,72.10,100.00,16.62,12.78	25:A100,75.50,100.00,10.75, 6.43	30:A100,72.10,100.00,12.62, 0.35	35:A100,73.40,100.00, 6.33,18.54	40:A100,77.90,100.00,63.65,23.25	45:A100,71.20,100.00, 9.74,39.15	
0:A100,73.70,100.00, 2.68,47.34	5:A100,73.60,100.00, 2.47,51.14	10:A100,71.30,100.00, 8.66,20.60	15:A100,75.20,100.00,17.44, 0.74	20:A100,72.60,100.00,16.62,12.78	25:A100,76.00,100.00,10.75, 6.43	30:A100,72.60,100.00,12.62, 0.35	35:A100,73.90,100.00, 6.33,18.54	40:B000,77.90,100.00,26.81,23.25	45:A100,71.70,100.00, 9.74,39.15	
0:A100,74.20,100.00, 2.68,47.34	5:A100,74.10,100.00, 2.47,51.14	10:A100,71.80,100.00, 8.66,20.60	15:A100,75.70,100.00,17.44, 0.74	20:A100,73.10,100.00,16.62,12.78	25:A100,76.50,100.00,10.75, 6.43	30:A100,73.10,100.00,12.62, 0.35	35:A100,74.40,100.00, 6.33,18.54	40:A100,78.40,100.00,26.81,23.25	45:A100,72.20,100.00, 9.74,39.15	
0:A100,74.70,100.00, 2.68,47.34	5:A100,74.60,100.00, 2.47,51.14	10:A100,72.30,100.00, 8.66,20.60	15:A100,76.20,100.00,17.44, 0.74	20:A100,73.60,100.00,16.62,12.78	25:A100,77.00,100.00,10.75, 6.43	30:A100,73.60,100.00,12.62, 0.35	35:A100,74.90,100.00, 6.33,18.54	40:A100,78.90,100.00,26.81,23.25	45:B000,72.20,100.00, 3.04,39.15	
0:A100,75.20,100.00, 2.68,47.34	5:A100,75.10,100.00, 2.47,51.14	10:A100,72.80,100.00, 8.66,20.60	15:A100,76.70,100.00,17.44, 0.74	20:A100,74.10,100.00,16.62,12.78	25:A100,77.50,100.00,10.75, 6.43	30:A100,74.10,100.00,12.62, 0.35	35:A100,75.40,100.00, 6.33,18.54	40:A100,79.40,100.00,26.81,23.25	45:A100,72.70,100.00, 3.04,39.15	
0:A100,75.70,100.00, 2.68,47.34	5:A100,75.60,100.00, 2.47,51.14	10:A100,73.30,100.00, 8.66,20.60	15:A100,77.20,100.00,17.44, 0.74	20:A100,74.60,100.00,16.62,12.78	25:A100,78.00,100.00,10.75, 6.43	30:A100,74.60,100.00,12.62, 0.35	35:A100,75.90,100.00, 6.33,18.54	40:A100,79.90,100.00,26.81,23.25	45:A100,73.20,100.00, 3.04,39.15	
0:A100,76.20,100.00, 2.68,47.34	5:C000,75.60,100.00, 2.47,20.27	10:C000,73.30,100.00, 8.66, 9.11	15:A100,77.70,100.00,17.44, 0.74	20:A100,75.10,100.00,16.62,12.78	25:A100,78.50,100.00,10.75, 6.43	30:A100,75.10,100.00,12.62, 0.35	35:A100,76.40,100.00, 6.33,18.54	40:A100,80.40,100.00,26.81,23.25	45:A100,73.70,100.00, 3.04,39.15	
0:A100,76.70,100.00, 2.68,47.34	5:A100,76.10,100.00, 2.47,20.27	10:A100,73.80,100.00, 8.66, 9.11	15:A100,78.20,100.00,17.44, 0.74	20:A100,75.60,100.00,16.62,12.78	25:A100,79.00,100.00,10.75, 6.43	30:A100,75.60,100.00,12.62, 0.35	35:A100,76.90,100.00, 6.33,18.54	40:A100,80.90,100.00,26.81,23.25	45:A100,74.20,100.00, 3.04,39.15	
0:A100,77.20,100.00, 2.68,47.34	5:A100,76.60,100.00, 2.47,20.27	10:A100,74.30,100.00, 8.66, 9.11	15:A100,78.70,100.00,17.44, 0.74	20:A100,76.10,100.00,16.62,12.78	25:A100,79.50,100.00,10.75, 6.43	30:A100,76.10,100.00,12.62, 0.35	35:A100,77.40,100.00, 6.33,18.54	40:A100,81.40,100.00,26.81,23.25	45:A100,74.70,100.00, 3.04,39.15	
0:C000,77.20,100.00, 2.68,16.92	5:A100,77.10,100.00, 2.47,20.27	10:A100,74.80,100.00, 8.66, 9.11	15:A100,79.20,100.00,17.44, 0.74	20:A100,76.60,100.00,16.62,12.78	25:A100,80.00,100.00,10.75, 6.43	30:A100,76.60,100.00,12.62, 0.35	35:A100,77.90,100.00, 6.33,18.54	40:A100,81.90,100.00,26.81,23.25	45:A100,75.20,100.00, 3.04,39.15	
0:A100,77.70,100.00, 2.68,16.92	5:C180,78.00,100.00, 2.47,116.68	10:A100,75.30,100.00, 8.66, 9.11	15:A100,79.70,100.00,17.44, 0.74	20:A100,77.10,100.00,16.62,12.78	25:A100,80.50,100.00,10.75, 6.43	30:A100,77.10,100.00,12.62, 0.35	35:A100,78.40,100.00, 6.33,18.54	40:A100,82.40,100.00,26.81,23.25	45:A100,75.70,100.00, 3.04,39.15	
0:A100,78.20,100.00, 2.68,16.92	5:C180,78.90,100.00, 2.47,154.90	10:A100,75.80,100.00, 8.66, 9.11	15:A100,80.20,100.00,17.44, 0.74	20:A100,77.60,100.00,16.62,12.78	25:A100,81.00,100.00,10.75, 6.43	30:A100,77.60,100.00,12.62, 0.35	35:A100,78.90,100.00, 6.33,18.54	40:A100,82.90,100.00,26.81,23.25	45:A100,76.20,100.00, 3.04,39.15	
0:A100,78.70,100.00, 2.68,16.92	5:C000,78.90,100.00, 2.47,61.41	10:A100,76.30,100.00, 8.66, 9.11	15:A100,80.70,100.00,17.44, 0.74	20:A100,78.10,100.00,16.62,12.78	25:A100,81.50,100.00,10.75, 6.43	30:A100,78.10,100.00,12.62, 0.35	35:A100,79.40,100.00, 6.33,18.54	40:A100,83.40,100.00,26.81,23.25	45:A100,76.70,100.00, 3.04,39.15	
0:A100,79.20,100.00, 2.68,16.92	5:A100,79.40,100.00, 2.47,61.41	10:A100,76.80,100.00, 8.66, 9.11	15:A100,81.20,100.00,17.44, 0.74	20:A100,78.60,100.00,16.62,12.78	25:A100,82.00,100.00,10.75, 6.43	30:A100,78.60,100.00,12.62, 0.35	35:C000,79.40,100.00, 6.33, 6.20	40:A100,83.90,100.00,26.81,23.25	45:A100,77.20,100.00, 3.04,39.15	
0:A100,79.70,100.00, 2.68,16.92	5:A100,79.90,100.00, 2.47,61.41	10:A100,77.30,100.00, 8.66, 9.11	15:A100,81.70,100.00,17.44, 0.74	20:A100,79.10,100.00,16.62,12.78	25:A100,82.50,100.00,10.75, 6.43	30:A100,79.10,100.00,12.62, 0.35	35:A100,79.90,100.00, 6.33, 6.20	40:A100,84.40,100.00,26.81,23.25	45:A100,77.70,100.00, 3.04,39.15	
0:A100,80.20,100.00, 2.68,16.92	5:C000,79.90,100.00, 2.47,24.35	10:A100,77.80,100.00, 8.66, 9.11	15:A100,82.20,100.00,17.44, 0.74	20:B000,79.10,100.00, 8.37,12.78	25:A100,83.00,100.00,10.75, 6.43	30:A100,79.60,100.00,12.62, 0.35	35:A100,80.40,100.00, 6.33, 6.20	40:A100,84.90,100.00,26.81,23.25	45:A100,78.20,100.00, 3.04,39.15	
0:A100,80.70,100.00, 2.68,16.92	5:A100,80.40,100.00, 2.47,24.35	10:A100,78.30,100.00, 8.66, 9.11	15:A100,82.70,100.00,17.44, 0.74	20:A100,79.60,100.00, 8.37,12.78	25:A100,83.50,100.00,10.75, 6.43	30:A100,80.10,100.00,12.62, 0.35	35:A100,80.90,100.00, 6.33, 6.20	40:A100,85.40,100.00,26.81,23.25	45:A100,78.70,100.00, 3.04,39.15	
0:A100,81.20,100.00, 2.68,16.92	5:A100,80.90,100.00, 2.47,24.35	10:A100,78.80,100.00, 8.66, 9.11	15:A100,83.20,100.00,17.44, 0.74	20:A100,80.10,100.00, 8.37,12.78	25:A100,84.00,100.00,10.75, 6.43	30:A100,80.60,100.00,12.62, 0.35	35:A100,81.40,100.00, 6.33, 6.20	40:A100,85.90,100.00,26.81,23.25	45:A100,79.20,100.00, 3.04,39.15	
0:A100,81.70,100.00, 2.68,16.92	5:A100,81.40,100.00, 2.47,24.35	10:A100,79.30,100.00, 8.66, 9.11	15:A100,83.70,100.00,17.44, 0.74	20:A100,80.60,100.00, 8.37,12.78	25:B220,85.10,100.00,166.93, 6.43	30:A100,81.10,100.00,12.62, 0.35	35:A100,81.90,100.00, 6.33, 6.20	40:C180,86.80,100.00,26.81,113.99	45:A100,79.70,100.00, 3.04,39.15	
0:A100,82.20,100.00, 2.68,16.92	5:A100,81.90,100.00, 2.47,24.35	10:A100,79.80,100.00, 8.66, 9.11	15:A100,84.20,100.00,17.44, 0.74	20:A100,81.10,100.00, 8.37,12.78	25:B220,86.20,100.00,206.54, 6.43	30:A100,81.60,100.00,12.62, 0.35	35:A100,82.40,100.00, 6.33, 6.20	40:A100,87.30,100.00,26.81,113.99	45:A100,80.20,100.00, 3.04,39.15	
0:A100,82.70,100.00, 2.68,16.92	5:A100,82.40,100.00, 2.47,24.35	10:A100,80.30,100.00, 8.66, 9.11	15:A100,84.70,100.00,17.44, 0.74	20:A100,81.60,100.00, 8.37,12.78	25:B220,87.30,100.00,216.59, 6.43	30:A100,82.10,100.00,12.62, 0.35	35:A100,82.90,100.00, 6.33, 6.20	40:C180,88.20,100.00,26.81,152.20	45:A100,80.70,100.00, 3.04,39.15	
0:A100,83.20,100.00, 2.68,16.92	5:A100,82.90,100.00, 2.47,24.35	10:A100,80.80,100.00, 8.66, 9.11	15:A100,85.20,100.00,17.44, 0.74	20:A100,82.10,100.00, 8.37,12.78	25:B000,87.30,100.00,54.93, 6.43	30:A100,82.60,100.00,12.62, 0.35	35:A100,83.40,100.00, 6.33, 6.20	40:C000,88.20,100.00,26.81,64.09	45:A100,81.20,100.00, 3.04,39.15	
0:A100,83.70,100.00, 2.68,16.92	5:A100,83.40,100.00, 2.47,24.35	10:A100,81.30,100.00, 8.66, 9.11	15:A100,85.70,100.00,17.44, 0.74	20:A100,82.60,100.00, 8.37,12.78	25:A100,87.80,100.00,54.93, 6.43	30:A100,83.10,100.00,12.62, 0.35	35:A100,83.90,100.00, 6.33, 6.20	40:A100,88.70,100.00,26.81,64.09	45:A100,81.70,100.00, 3.04,39.15	
0:A100,84.20,100.00, 2.68,16.92	5:A100,83.90,100.00, 2.47,24.35	10:A100,81.80,100.00, 8.66, 9.11	15:A100,86.20,100.00,17.44, 0.74	20:A100,83.10,100.00, 8.37,12.78	25:A100,88.30,100.00,54.93, 6.43	30:A100,83.60,100.00,12.62, 0.35	35:A100,84.40,100.00, 6.33, 6.20	40:A100,89.20,100.00,26.81,64.09	45:A100,82.20,100.00, 3.04,39.15	
0:A100,84.70,100.00, 2.68,16.92	5:A100,84.40,100.00, 2.47,24.35	10:A100,82.30,100.00, 8.66, 9.11	15:A100,86.70,100.00,17.44, 0.74	20:A100,83.60,100.00, 8.37,12.78	25:A100,88.80,100.00,54.93, 6.43	30:A100,84.10,100.00,12.62, 0.35	35:A100,84.90,100.00, 6.33, 6.20	40:A100,89.70,100.00,26.81,64.09	45:A100,82.70,100.00, 3.04,39.15	
0:A100,85.20,100.00, 2.68,16.92	5:A100,84.90,100.00, 2.47,24.35	10:A100,82.80,100.00, 8.66, 9.11	15:A100,87.20,100.00,17.44, 0.74	20:A100,84.10,100.00, 8.37,12.78	25:A100,89.30,100.00,54.93, 6.43	30:A100,84.60,100.00,12.62, 0.35	35:A100,85.40,100.00, 6.33, 6.20	40:A100,90.20,100.00,26.81,64.09	45:A100,83.20,100.00, 3.04,39.15	
0:A100,85.70,100.00, 2.68,16.92	5:A100,85.40,100.00, 2.47,24.35	10:A100,83.30,100.00, 8.66, 9.11	15:A100,87.70,100.00,17.44, 0.74	20:A100,84.60,100.00, 8.37,12.78	25:A100,89.80,100.00,54.93, 6.43	30:A100,85.10,100.00,12.62, 0.35	35:A100,85.90,100.00, 6.33, 6.20	40:C180,91.10,100.00,26.81,131.19	45:A100,83.70,100.00, 3.04,39.15	
0:A100,86.20,100.00, 2.68,16.92	5:A100,85.90,100.00, 2.47,24.35	10:A100,83.80,100.00, 8.66, 9.11	15:A100,88.20,100.00,17.44, 0.74	20:A100,85.10,100.
