each row consists of groups of data for each agent, in form:	agentNum(learningParameter):choice,fitness,[expA,expB,expC]where choice has letter chosen and reward received
each column consists of every trial for the same agent.
this entire file is from Generation 250

0(0.26996307377190604):B000,000.00,[100.00,074.55,073.00]	5(0.642830467967244):C180,000.00,[100.00,027.98,128.47]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,096.92,104.13]	20(0.25632136120506804):A100,000.00,[100.00,077.13,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,094.00,051.54]	40(0.041329442377927475):C180,000.00,[100.00,095.13,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,074.55,073.00]	5(0.642830467967244):C180,000.00,[100.00,027.98,161.59]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,096.92,104.13]	20(0.25632136120506804):A100,000.00,[100.00,077.13,066.65]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,094.00,051.54]	40(0.041329442377927475):B220,000.00,[100.00,100.29,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):B000,000.00,[100.00,054.42,073.00]	5(0.642830467967244):C000,000.00,[100.00,027.98,057.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C180,000.00,[100.00,096.92,105.66]	20(0.25632136120506804):C000,000.00,[100.00,077.13,049.56]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,094.00,051.54]	40(0.041329442377927475):B220,000.00,[100.00,105.24,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,057.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C000,000.00,[100.00,096.92,103.53]	20(0.25632136120506804):A100,000.00,[100.00,077.13,049.56]	25(0.7469695536870593):A100,000.00,[100.00,025.30,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,094.00,051.54]	40(0.041329442377927475):A100,000.00,[100.00,105.24,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,057.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):B000,000.00,[100.00,094.96,103.53]	20(0.25632136120506804):A100,000.00,[100.00,077.13,049.56]	25(0.7469695536870593):B000,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):B000,000.00,[100.00,075.36,051.54]	40(0.041329442377927475):A100,000.00,[100.00,105.24,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,057.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C180,000.00,[100.00,094.96,105.07]	20(0.25632136120506804):A100,000.00,[100.00,077.13,049.56]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,075.36,051.54]	40(0.041329442377927475):B000,000.00,[100.00,100.89,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,057.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):B000,000.00,[100.00,093.04,105.07]	20(0.25632136120506804):C000,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):A100,000.00,[100.00,075.36,051.54]	40(0.041329442377927475):A100,000.00,[100.00,100.89,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,057.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C180,000.00,[100.00,093.04,106.59]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):C000,000.00,[100.00,075.36,041.32]	40(0.041329442377927475):B000,000.00,[100.00,096.72,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):A100,000.00,[100.00,027.98,057.72]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):A100,000.00,[100.00,093.04,106.59]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):B220,000.00,[100.00,104.04,041.32]	40(0.041329442377927475):B000,000.00,[100.00,092.72,095.55]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
0(0.26996307377190604):A100,000.00,[100.00,054.42,073.00]	5(0.642830467967244):C000,000.00,[100.00,027.98,020.61]	10(0.7508997625793153):A100,000.00,[100.00,024.91,024.91]	15(0.020226127264129052):C000,000.00,[100.00,093.04,104.43]	20(0.25632136120506804):A100,000.00,[100.00,077.13,036.86]	25(0.7469695536870593):A100,000.00,[100.00,006.40,025.30]	30(0.9167515591709043):A100,000.00,[100.00,008.32,001.25]	35(0.19824604514577443):B000,000.00,[100.00,083.41,041.32]	40(0.041329442377927475):C180,000.00,[100.00,092.72,099.04]	45(0.8742484786605949):A100,000.00,[100.00,012.58,020.14]	
